 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
    66.500,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.604,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.701,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.806,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    66.903,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.000,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.104,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.201,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.306,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.403,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.500,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.604,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.701,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.806,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    67.903,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    68.000,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
    68.104,  100.00,  0.8380E+09,    0.04,  0.3130E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.04,  0.3130E+06,    0.04,  0.3130E+06,    0.00,  0.0000E+00,
    68.201,  100.00,  0.8380E+09,    0.04,  0.3130E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.04,  0.3130E+06,    0.04,  0.3130E+06,    0.00,  0.0000E+00,
    68.306,  100.00,  0.8380E+09,    0.05,  0.3989E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.05,  0.3989E+06,    0.05,  0.3989E+06,    0.00,  0.0000E+00,
    68.403,  100.00,  0.8380E+09,    0.10,  0.8156E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.10,  0.8156E+06,    0.10,  0.8156E+06,    0.00,  0.0000E+00,
    68.500,  100.00,  0.8380E+09,    0.11,  0.9556E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.11,  0.9556E+06,    0.11,  0.9556E+06,    0.00,  0.0000E+00,
    68.604,  100.00,  0.8380E+09,    0.11,  0.9546E+06,    0.00,  0.0000E+00,  100.00,  0.8380E+09,  100.00,  0.8380E+09,  100.00,  0.8380E+09,    0.11,  0.9546E+06,    0.11,  0.9546E+06,    0.00,  0.0000E+00,
