 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   82.2500,      9.35,     12.60,    110.00,
   82.3750,      9.27,     12.60,    110.00,
   82.5000,      9.18,     12.60,    110.00,
   82.6250,      8.86,     12.60,    110.00,
   82.7500,      8.47,     12.60,    110.00,
   82.8750,      8.25,     12.60,    110.00,
   83.0000,      8.18,     12.60,    110.00,
   83.1250,      8.22,     12.60,    110.00,
   83.2500,      8.27,     12.60,    110.00,
   83.3750,      8.37,     12.60,    110.00,
   83.5000,      8.45,     12.60,    110.00,
   83.6250,      8.44,     12.60,    110.00,
   83.7500,      8.47,     12.60,    110.00,
   83.8750,      8.41,     12.60,    110.00,
   84.0000,      8.42,     12.60,    110.00,
   84.1250,      8.48,     12.60,    110.00,
   84.2500,      8.57,     12.60,    110.00,
   84.3750,      8.77,     12.60,    110.00,
   84.5000,      9.21,     12.60,    110.00,
   84.6250,      9.39,     12.60,    110.00,
   84.7500,      9.58,     12.60,    110.00,
   84.8750,      9.82,     12.60,    110.00,
   85.0000,      9.89,     12.60,    110.00,
   85.1250,      9.91,     12.60,    110.00,
   85.2500,      9.90,     12.60,    110.00,
   85.3750,      9.91,     12.60,    110.00,
   85.5000,      9.91,     12.60,    110.00,
   85.6250,      9.89,     12.60,    110.00,
   85.7500,      9.65,     12.60,    110.00,
   85.8750,      9.03,     12.60,    110.00,
   86.0000,      8.64,     12.60,    110.00,
   86.1250,      8.39,     12.60,    110.00,
   86.2500,      8.30,     12.60,    110.00,
   86.3750,      8.18,     12.60,    110.00,
   86.5000,      8.11,     12.60,    110.00,
   86.6250,      8.12,     12.60,    110.00,
   86.7500,      8.14,     12.60,    110.00,
   86.8750,      8.19,     12.60,    110.00,
   87.0000,      8.27,     12.60,    110.00,
   87.1250,      8.35,     12.60,    110.00,
   87.2500,      8.42,     12.60,    110.00,
   87.3750,      8.49,     12.60,    110.00,
   87.5000,      8.55,     12.60,    110.00,
   87.6250,      8.58,     12.60,    110.00,
   87.7500,      8.60,     12.60,    110.00,
   87.8750,      8.65,     12.60,    110.00,
   88.0000,      8.69,     12.60,    110.00,
