 JDAY,ELEVATION(m),DisslvedOxygen(mg/l)
  121.5000,  116.35,    8.28,
  121.5000,  114.35,    7.50,
  121.5000,  112.35,    7.07,
  121.5000,  110.35,    7.07,
  121.5000,  108.35,    6.88,
  121.5000,  106.35,    6.49,
  121.5000,  104.35,    6.12,
  121.5000,  102.35,    5.93,
  121.5000,  100.35,    5.77,
  121.5000,   98.35,    5.61,
  121.5000,   96.35,    5.44,
  121.5000,   94.35,    5.32,
  121.5000,   92.35,    5.25,
  121.5000,   90.35,    5.24,
  121.5000,   88.35,    5.24,
  121.5000,   86.35,    5.25,
  121.5000,   84.35,    5.24,
  121.5000,   82.35,    5.19,
  121.5000,   80.35,    5.00,
  121.5000,   78.35,    4.52,
  121.5000,   76.35,    3.87,
  121.5000,   74.35,    3.87,
  121.5000,   72.35,    3.87,
  121.5000,   70.35,    3.87,
  121.5000,   68.35,    3.87,
  122.5000,  123.90,  -99.00,
  122.5000,  123.80,    8.64,
  122.5000,  120.35,    8.49,
  122.5000,  118.35,    8.25,
  122.5000,  116.35,    8.03,
  122.5000,  114.35,    7.74,
  122.5000,  112.35,    7.44,
  122.5000,  110.35,    7.20,
  122.5000,  108.35,    7.06,
  122.5000,  106.35,    7.05,
  122.5000,  104.35,    7.00,
  122.5000,  102.35,    6.70,
  122.5000,  100.35,    6.25,
  122.5000,   98.35,    5.91,
  122.5000,   96.35,    5.68,
  122.5000,   94.35,    5.48,
  122.5000,   92.35,    5.32,
  122.5000,   90.35,    5.21,
  122.5000,   88.35,    5.17,
  122.5000,   86.35,    5.17,
  122.5000,   84.35,    5.17,
  122.5000,   82.35,    5.17,
  122.5000,   80.35,    5.12,
  122.5000,   78.35,    4.80,
  122.5000,   76.35,    3.88,
  122.5000,   74.35,    3.88,
  122.5000,   72.35,    3.88,
  122.5000,   70.35,    3.88,
  122.5000,   68.35,    3.88,
  123.5000,  123.90,  -99.00,
  123.5000,  123.80,    8.62,
  123.5000,  120.35,    8.60,
  123.5000,  118.35,    8.43,
  123.5000,  116.35,    8.18,
  123.5000,  114.35,    7.95,
  123.5000,  112.35,    7.70,
  123.5000,  110.35,    7.40,
  123.5000,  108.35,    7.15,
  123.5000,  106.35,    7.02,
  123.5000,  104.35,    6.76,
  123.5000,  102.35,    6.35,
  123.5000,  100.35,    5.99,
  123.5000,   98.35,    5.75,
  123.5000,   96.35,    5.57,
  123.5000,   94.35,    5.40,
  123.5000,   92.35,    5.24,
  123.5000,   90.35,    5.12,
  123.5000,   88.35,    5.08,
  123.5000,   86.35,    5.08,
  123.5000,   84.35,    5.09,
  123.5000,   82.35,    5.08,
  123.5000,   80.35,    5.11,
  123.5000,   78.35,    4.43,
  123.5000,   76.35,    3.90,
  123.5000,   74.35,    3.90,
  123.5000,   72.35,    3.90,
  123.5000,   70.35,    3.90,
  123.5000,   68.35,    3.90,
  124.5000,  123.90,  -99.00,
  124.5000,  123.80,    8.63,
  124.5000,  120.35,    8.62,
  124.5000,  118.35,    8.62,
  124.5000,  116.35,    8.45,
  124.5000,  114.35,    8.18,
  124.5000,  112.35,    7.83,
  124.5000,  110.35,    7.42,
  124.5000,  108.35,    7.12,
  124.5000,  106.35,    6.91,
  124.5000,  104.35,    6.65,
  124.5000,  102.35,    6.33,
  124.5000,  100.35,    6.01,
  124.5000,   98.35,    5.77,
  124.5000,   96.35,    5.58,
  124.5000,   94.35,    5.41,
  124.5000,   92.35,    5.25,
  124.5000,   90.35,    5.10,
  124.5000,   88.35,    5.01,
  124.5000,   86.35,    4.98,
  124.5000,   84.35,    4.99,
  124.5000,   82.35,    4.99,
  124.5000,   80.35,    5.06,
  124.5000,   78.35,    4.57,
  124.5000,   76.35,    3.88,
  124.5000,   74.35,    3.88,
  124.5000,   72.35,    3.88,
  124.5000,   70.35,    3.88,
  124.5000,   68.35,    3.88,
  125.5000,  123.90,  -99.00,
  125.5000,  123.80,    8.63,
  125.5000,  120.35,    8.63,
  125.5000,  118.35,    8.63,
  125.5000,  116.35,    8.49,
  125.5000,  114.35,    8.15,
  125.5000,  112.35,    7.69,
  125.5000,  110.35,    7.28,
  125.5000,  108.35,    6.99,
  125.5000,  106.35,    6.79,
  125.5000,  104.35,    6.62,
  125.5000,  102.35,    6.44,
  125.5000,  100.35,    6.24,
  125.5000,   98.35,    6.03,
  125.5000,   96.35,    5.83,
  125.5000,   94.35,    5.64,
  125.5000,   92.35,    5.46,
  125.5000,   90.35,    5.27,
  125.5000,   88.35,    5.09,
  125.5000,   86.35,    4.96,
  125.5000,   84.35,    4.93,
  125.5000,   82.35,    4.91,
  125.5000,   80.35,    4.97,
  125.5000,   78.35,    4.82,
  125.5000,   76.35,    4.09,
  125.5000,   74.35,    3.77,
  125.5000,   72.35,    3.77,
  125.5000,   70.35,    3.77,
  125.5000,   68.35,    3.77,
  126.5000,  123.90,  -99.00,
  126.5000,  123.80,    8.62,
  126.5000,  120.35,    8.61,
  126.5000,  118.35,    8.63,
  126.5000,  116.35,    8.54,
  126.5000,  114.35,    8.09,
  126.5000,  112.35,    7.60,
  126.5000,  110.35,    7.21,
  126.5000,  108.35,    6.92,
  126.5000,  106.35,    6.69,
  126.5000,  104.35,    6.45,
  126.5000,  102.35,    6.16,
  126.5000,  100.35,    5.84,
  126.5000,   98.35,    5.56,
  126.5000,   96.35,    5.31,
  126.5000,   94.35,    5.10,
  126.5000,   92.35,    4.94,
  126.5000,   90.35,    4.84,
  126.5000,   88.35,    4.81,
  126.5000,   86.35,    4.81,
  126.5000,   84.35,    4.80,
  126.5000,   82.35,    4.80,
  126.5000,   80.35,    4.10,
  126.5000,   78.35,    3.84,
  126.5000,   76.35,    3.84,
  126.5000,   74.35,    3.84,
  126.5000,   72.35,    3.84,
  126.5000,   70.35,    3.84,
  126.5000,   68.35,    3.84,
  127.5000,  123.90,  -99.00,
  127.5000,  123.80,    8.56,
  127.5000,  120.35,    8.55,
  127.5000,  118.35,    8.53,
  127.5000,  116.35,    8.35,
  127.5000,  114.35,    7.60,
  127.5000,  112.35,    6.97,
  127.5000,  110.35,    6.73,
  127.5000,  108.35,    6.57,
  127.5000,  106.35,    6.40,
  127.5000,  104.35,    6.19,
  127.5000,  102.35,    5.94,
  127.5000,  100.35,    5.69,
  127.5000,   98.35,    5.47,
  127.5000,   96.35,    5.27,
  127.5000,   94.35,    5.08,
  127.5000,   92.35,    4.93,
  127.5000,   90.35,    4.81,
  127.5000,   88.35,    4.75,
  127.5000,   86.35,    4.75,
  127.5000,   84.35,    4.74,
  127.5000,   82.35,    4.81,
  127.5000,   80.35,    4.44,
  127.5000,   78.35,    3.76,
  127.5000,   76.35,    3.76,
  127.5000,   74.35,    3.76,
  127.5000,   72.35,    3.76,
  127.5000,   70.35,    3.76,
  127.5000,   68.35,    3.76,
  128.5000,  123.90,  -99.00,
  128.5000,  123.80,    8.50,
  128.5000,  120.35,    8.49,
  128.5000,  118.35,    8.48,
  128.5000,  116.35,    8.15,
  128.5000,  114.35,    7.32,
  128.5000,  112.35,    6.86,
  128.5000,  110.35,    6.71,
  128.5000,  108.35,    6.54,
  128.5000,  106.35,    6.35,
  128.5000,  104.35,    6.10,
  128.5000,  102.35,    5.83,
  128.5000,  100.35,    5.58,
  128.5000,   98.35,    5.37,
  128.5000,   96.35,    5.17,
  128.5000,   94.35,    4.99,
  128.5000,   92.35,    4.84,
  128.5000,   90.35,    4.73,
  128.5000,   88.35,    4.67,
  128.5000,   86.35,    4.67,
  128.5000,   84.35,    4.68,
  128.5000,   82.35,    4.71,
  128.5000,   80.35,    4.50,
  128.5000,   78.35,    3.72,
  128.5000,   76.35,    3.72,
  128.5000,   74.35,    3.72,
  128.5000,   72.35,    3.72,
  128.5000,   70.35,    3.72,
  128.5000,   68.35,    3.72,
  129.5000,  123.90,  -99.00,
  129.5000,  123.80,    8.47,
  129.5000,  120.35,    8.46,
  129.5000,  118.35,    8.40,
  129.5000,  116.35,    8.11,
  129.5000,  114.35,    7.59,
  129.5000,  112.35,    7.17,
  129.5000,  110.35,    6.92,
  129.5000,  108.35,    6.73,
  129.5000,  106.35,    6.53,
  129.5000,  104.35,    6.31,
  129.5000,  102.35,    6.08,
  129.5000,  100.35,    5.84,
  129.5000,   98.35,    5.60,
  129.5000,   96.35,    5.37,
  129.5000,   94.35,    5.14,
  129.5000,   92.35,    4.93,
  129.5000,   90.35,    4.77,
  129.5000,   88.35,    4.65,
  129.5000,   86.35,    4.61,
  129.5000,   84.35,    4.61,
  129.5000,   82.35,    4.65,
  129.5000,   80.35,    4.65,
  129.5000,   78.35,    3.87,
  129.5000,   76.35,    3.64,
  129.5000,   74.35,    3.64,
  129.5000,   72.35,    3.64,
  129.5000,   70.35,    3.64,
  129.5000,   68.35,    3.64,
  130.5000,  123.90,  -99.00,
  130.5000,  123.80,    8.44,
  130.5000,  120.35,    8.42,
  130.5000,  118.35,    8.33,
  130.5000,  116.35,    7.88,
  130.5000,  114.35,    7.52,
  130.5000,  112.35,    7.18,
  130.5000,  110.35,    6.82,
  130.5000,  108.35,    6.48,
  130.5000,  106.35,    6.17,
  130.5000,  104.35,    5.90,
  130.5000,  102.35,    5.65,
  130.5000,  100.35,    5.42,
  130.5000,   98.35,    5.20,
  130.5000,   96.35,    4.98,
  130.5000,   94.35,    4.78,
  130.5000,   92.35,    4.63,
  130.5000,   90.35,    4.54,
  130.5000,   88.35,    4.50,
  130.5000,   86.35,    4.51,
  130.5000,   84.35,    4.52,
  130.5000,   82.35,    4.50,
  130.5000,   80.35,    3.79,
  130.5000,   78.35,    3.66,
  130.5000,   76.35,    3.66,
  130.5000,   74.35,    3.66,
  130.5000,   72.35,    3.66,
  130.5000,   70.35,    3.66,
  130.5000,   68.35,    3.66,
  131.5000,  123.90,  -99.00,
  131.5000,  123.80,    8.38,
  131.5000,  120.35,    8.34,
  131.5000,  118.35,    8.11,
  131.5000,  116.35,    7.78,
  131.5000,  114.35,    7.56,
  131.5000,  112.35,    7.25,
  131.5000,  110.35,    6.89,
  131.5000,  108.35,    6.58,
  131.5000,  106.35,    6.36,
  131.5000,  104.35,    6.17,
  131.5000,  102.35,    6.01,
  131.5000,  100.35,    5.85,
  131.5000,   98.35,    5.66,
  131.5000,   96.35,    5.46,
  131.5000,   94.35,    5.23,
  131.5000,   92.35,    5.00,
  131.5000,   90.35,    4.79,
  131.5000,   88.35,    4.60,
  131.5000,   86.35,    4.50,
  131.5000,   84.35,    4.44,
  131.5000,   82.35,    4.52,
  131.5000,   80.35,    4.42,
  131.5000,   78.35,    3.87,
  131.5000,   76.35,    3.56,
  131.5000,   74.35,    3.56,
  131.5000,   72.35,    3.56,
  131.5000,   70.35,    3.56,
  131.5000,   68.35,    3.56,
  132.5000,  123.90,  -99.00,
  132.5000,  123.80,    8.39,
  132.5000,  120.35,    8.36,
  132.5000,  118.35,    8.32,
  132.5000,  116.35,    7.83,
  132.5000,  114.35,    7.48,
  132.5000,  112.35,    7.08,
  132.5000,  110.35,    6.62,
  132.5000,  108.35,    6.26,
  132.5000,  106.35,    5.99,
  132.5000,  104.35,    5.77,
  132.5000,  102.35,    5.56,
  132.5000,  100.35,    5.32,
  132.5000,   98.35,    5.08,
  132.5000,   96.35,    4.84,
  132.5000,   94.35,    4.63,
  132.5000,   92.35,    4.48,
  132.5000,   90.35,    4.38,
  132.5000,   88.35,    4.36,
  132.5000,   86.35,    4.36,
  132.5000,   84.35,    4.34,
  132.5000,   82.35,    4.09,
  132.5000,   80.35,    3.55,
  132.5000,   78.35,    3.55,
  132.5000,   76.35,    3.55,
  132.5000,   74.35,    3.55,
  132.5000,   72.35,    3.55,
  132.5000,   70.35,    3.55,
  132.5000,   68.35,    3.55,
  133.5000,  123.90,  -99.00,
  133.5000,  123.80,    8.39,
  133.5000,  120.35,    8.33,
  133.5000,  118.35,    8.11,
  133.5000,  116.35,    7.68,
  133.5000,  114.35,    7.42,
  133.5000,  112.35,    7.08,
  133.5000,  110.35,    6.65,
  133.5000,  108.35,    6.28,
  133.5000,  106.35,    6.04,
  133.5000,  104.35,    5.88,
  133.5000,  102.35,    5.75,
  133.5000,  100.35,    5.61,
  133.5000,   98.35,    5.44,
  133.5000,   96.35,    5.24,
  133.5000,   94.35,    5.00,
  133.5000,   92.35,    4.75,
  133.5000,   90.35,    4.53,
  133.5000,   88.35,    4.37,
  133.5000,   86.35,    4.31,
  133.5000,   84.35,    4.31,
  133.5000,   82.35,    4.33,
  133.5000,   80.35,    3.89,
  133.5000,   78.35,    3.46,
  133.5000,   76.35,    3.46,
  133.5000,   74.35,    3.46,
  133.5000,   72.35,    3.46,
  133.5000,   70.35,    3.46,
  133.5000,   68.35,    3.46,
  134.5000,  123.90,  -99.00,
  134.5000,  123.80,    8.39,
  134.5000,  120.35,    8.38,
  134.5000,  118.35,    8.39,
  134.5000,  116.35,    8.08,
  134.5000,  114.35,    7.54,
  134.5000,  112.35,    7.07,
  134.5000,  110.35,    6.59,
  134.5000,  108.35,    6.22,
  134.5000,  106.35,    5.98,
  134.5000,  104.35,    5.81,
  134.5000,  102.35,    5.64,
  134.5000,  100.35,    5.43,
  134.5000,   98.35,    5.17,
  134.5000,   96.35,    4.89,
  134.5000,   94.35,    4.63,
  134.5000,   92.35,    4.42,
  134.5000,   90.35,    4.28,
  134.5000,   88.35,    4.22,
  134.5000,   86.35,    4.22,
  134.5000,   84.35,    4.21,
  134.5000,   82.35,    3.99,
  134.5000,   80.35,    3.42,
  134.5000,   78.35,    3.42,
  134.5000,   76.35,    3.42,
  134.5000,   74.35,    3.42,
  134.5000,   72.35,    3.42,
  134.5000,   70.35,    3.42,
  134.5000,   68.35,    3.42,
  135.5000,  123.89,  -99.00,
  135.5000,  123.79,    8.36,
  135.5000,  120.35,    8.24,
  135.5000,  118.35,    7.84,
  135.5000,  116.35,    7.27,
  135.5000,  114.35,    6.74,
  135.5000,  112.35,    6.43,
  135.5000,  110.35,    6.08,
  135.5000,  108.35,    5.87,
  135.5000,  106.35,    5.75,
  135.5000,  104.35,    5.63,
  135.5000,  102.35,    5.49,
  135.5000,  100.35,    5.29,
  135.5000,   98.35,    5.06,
  135.5000,   96.35,    4.80,
  135.5000,   94.35,    4.55,
  135.5000,   92.35,    4.35,
  135.5000,   90.35,    4.21,
  135.5000,   88.35,    4.14,
  135.5000,   86.35,    4.12,
  135.5000,   84.35,    4.21,
  135.5000,   82.35,    3.90,
  135.5000,   80.35,    3.47,
  135.5000,   78.35,    3.40,
  135.5000,   76.35,    3.40,
  135.5000,   74.35,    3.40,
  135.5000,   72.35,    3.40,
  135.5000,   70.35,    3.40,
  135.5000,   68.35,    3.40,
  136.5000,  123.89,  -99.00,
  136.5000,  123.79,    8.24,
  136.5000,  120.35,    8.09,
  136.5000,  118.35,    7.66,
  136.5000,  116.35,    7.31,
  136.5000,  114.35,    7.04,
  136.5000,  112.35,    6.70,
  136.5000,  110.35,    6.32,
  136.5000,  108.35,    5.99,
  136.5000,  106.35,    5.76,
  136.5000,  104.35,    5.61,
  136.5000,  102.35,    5.47,
  136.5000,  100.35,    5.28,
  136.5000,   98.35,    5.02,
  136.5000,   96.35,    4.73,
  136.5000,   94.35,    4.47,
  136.5000,   92.35,    4.25,
  136.5000,   90.35,    4.11,
  136.5000,   88.35,    4.06,
  136.5000,   86.35,    4.06,
  136.5000,   84.35,    4.04,
  136.5000,   82.35,    3.79,
  136.5000,   80.35,    3.33,
  136.5000,   78.35,    3.33,
  136.5000,   76.35,    3.33,
  136.5000,   74.35,    3.33,
  136.5000,   72.35,    3.33,
  136.5000,   70.35,    3.33,
  136.5000,   68.35,    3.33,
  137.5000,  123.90,  -99.00,
  137.5000,  123.80,    8.10,
  137.5000,  120.35,    8.08,
  137.5000,  118.35,    8.07,
  137.5000,  116.35,    8.05,
  137.5000,  114.35,    7.68,
  137.5000,  112.35,    7.27,
  137.5000,  110.35,    6.86,
  137.5000,  108.35,    6.28,
  137.5000,  106.35,    5.84,
  137.5000,  104.35,    5.60,
  137.5000,  102.35,    5.45,
  137.5000,  100.35,    5.27,
  137.5000,   98.35,    5.04,
  137.5000,   96.35,    4.76,
  137.5000,   94.35,    4.47,
  137.5000,   92.35,    4.24,
  137.5000,   90.35,    4.07,
  137.5000,   88.35,    3.98,
  137.5000,   86.35,    3.97,
  137.5000,   84.35,    3.99,
  137.5000,   82.35,    3.91,
  137.5000,   80.35,    3.37,
  137.5000,   78.35,    3.25,
  137.5000,   76.35,    3.25,
  137.5000,   74.35,    3.25,
  137.5000,   72.35,    3.25,
  137.5000,   70.35,    3.25,
  137.5000,   68.35,    3.25,
  138.5000,  123.90,  -99.00,
  138.5000,  123.80,    8.15,
  138.5000,  120.35,    8.14,
  138.5000,  118.35,    8.14,
  138.5000,  116.35,    8.16,
  138.5000,  114.35,    8.10,
  138.5000,  112.35,    7.45,
  138.5000,  110.35,    6.74,
  138.5000,  108.35,    6.16,
  138.5000,  106.35,    5.73,
  138.5000,  104.35,    5.50,
  138.5000,  102.35,    5.35,
  138.5000,  100.35,    5.20,
  138.5000,   98.35,    5.03,
  138.5000,   96.35,    4.82,
  138.5000,   94.35,    4.59,
  138.5000,   92.35,    4.35,
  138.5000,   90.35,    4.14,
  138.5000,   88.35,    3.98,
  138.5000,   86.35,    3.91,
  138.5000,   84.35,    3.90,
  138.5000,   82.35,    3.98,
  138.5000,   80.35,    3.61,
  138.5000,   78.35,    3.22,
  138.5000,   76.35,    3.20,
  138.5000,   74.35,    3.20,
  138.5000,   72.35,    3.20,
  138.5000,   70.35,    3.20,
  138.5000,   68.35,    3.20,
  139.5000,  123.90,  -99.00,
  139.5000,  123.80,    8.05,
  139.5000,  120.35,    8.04,
  139.5000,  118.35,    8.06,
  139.5000,  116.35,    8.06,
  139.5000,  114.35,    7.64,
  139.5000,  112.35,    6.58,
  139.5000,  110.35,    5.84,
  139.5000,  108.35,    5.64,
  139.5000,  106.35,    5.46,
  139.5000,  104.35,    5.32,
  139.5000,  102.35,    5.20,
  139.5000,  100.35,    5.01,
  139.5000,   98.35,    4.76,
  139.5000,   96.35,    4.48,
  139.5000,   94.35,    4.22,
  139.5000,   92.35,    4.01,
  139.5000,   90.35,    3.87,
  139.5000,   88.35,    3.81,
  139.5000,   86.35,    3.82,
  139.5000,   84.35,    3.80,
  139.5000,   82.35,    3.61,
  139.5000,   80.35,    3.14,
  139.5000,   78.35,    3.14,
  139.5000,   76.35,    3.14,
  139.5000,   74.35,    3.14,
  139.5000,   72.35,    3.14,
  139.5000,   70.35,    3.14,
  139.5000,   68.35,    3.14,
  140.5000,  123.90,  -99.00,
  140.5000,  123.80,    8.08,
  140.5000,  120.35,    8.04,
  140.5000,  118.35,    7.98,
  140.5000,  116.35,    7.68,
  140.5000,  114.35,    7.00,
  140.5000,  112.35,    6.43,
  140.5000,  110.35,    6.00,
  140.5000,  108.35,    5.71,
  140.5000,  106.35,    5.55,
  140.5000,  104.35,    5.41,
  140.5000,  102.35,    5.27,
  140.5000,  100.35,    5.16,
  140.5000,   98.35,    5.00,
  140.5000,   96.35,    4.73,
  140.5000,   94.35,    4.38,
  140.5000,   92.35,    4.07,
  140.5000,   90.35,    3.86,
  140.5000,   88.35,    3.75,
  140.5000,   86.35,    3.72,
  140.5000,   84.35,    3.68,
  140.5000,   82.35,    3.41,
  140.5000,   80.35,    3.08,
  140.5000,   78.35,    3.08,
  140.5000,   76.35,    3.08,
  140.5000,   74.35,    3.08,
  140.5000,   72.35,    3.08,
  140.5000,   70.35,    3.08,
  140.5000,   68.35,    3.08,
  141.5000,  123.90,  -99.00,
  141.5000,  123.80,    8.11,
  141.5000,  120.35,    8.10,
  141.5000,  118.35,    7.95,
  141.5000,  116.35,    7.61,
  141.5000,  114.35,    6.96,
  141.5000,  112.35,    6.34,
  141.5000,  110.35,    5.91,
  141.5000,  108.35,    5.59,
  141.5000,  106.35,    5.37,
  141.5000,  104.35,    5.21,
  141.5000,  102.35,    5.09,
  141.5000,  100.35,    4.98,
  141.5000,   98.35,    4.81,
  141.5000,   96.35,    4.59,
  141.5000,   94.35,    4.33,
  141.5000,   92.35,    4.07,
  141.5000,   90.35,    3.86,
  141.5000,   88.35,    3.71,
  141.5000,   86.35,    3.66,
  141.5000,   84.35,    3.64,
  141.5000,   82.35,    3.42,
  141.5000,   80.35,    3.12,
  141.5000,   78.35,    3.00,
  141.5000,   76.35,    3.00,
  141.5000,   74.35,    3.00,
  141.5000,   72.35,    3.00,
  141.5000,   70.35,    3.00,
  141.5000,   68.35,    3.00,
  142.5000,  123.90,  -99.00,
  142.5000,  123.80,    8.17,
  142.5000,  120.35,    8.13,
  142.5000,  118.35,    7.89,
  142.5000,  116.35,    7.43,
  142.5000,  114.35,    6.79,
  142.5000,  112.35,    6.14,
  142.5000,  110.35,    5.67,
  142.5000,  108.35,    5.36,
  142.5000,  106.35,    5.19,
  142.5000,  104.35,    5.07,
  142.5000,  102.35,    4.98,
  142.5000,  100.35,    4.85,
  142.5000,   98.35,    4.67,
  142.5000,   96.35,    4.45,
  142.5000,   94.35,    4.21,
  142.5000,   92.35,    3.99,
  142.5000,   90.35,    3.80,
  142.5000,   88.35,    3.66,
  142.5000,   86.35,    3.59,
  142.5000,   84.35,    3.59,
  142.5000,   82.35,    3.51,
  142.5000,   80.35,    3.04,
  142.5000,   78.35,    2.95,
  142.5000,   76.35,    2.95,
  142.5000,   74.35,    2.95,
  142.5000,   72.35,    2.95,
  142.5000,   70.35,    2.95,
  142.5000,   68.35,    2.95,
  143.5000,  123.90,  -99.00,
  143.5000,  123.80,    8.19,
  143.5000,  120.35,    8.15,
  143.5000,  118.35,    7.96,
  143.5000,  116.35,    7.49,
  143.5000,  114.35,    6.95,
  143.5000,  112.35,    6.34,
  143.5000,  110.35,    5.82,
  143.5000,  108.35,    5.46,
  143.5000,  106.35,    5.25,
  143.5000,  104.35,    5.11,
  143.5000,  102.35,    5.02,
  143.5000,  100.35,    4.95,
  143.5000,   98.35,    4.84,
  143.5000,   96.35,    4.67,
  143.5000,   94.35,    4.44,
  143.5000,   92.35,    4.19,
  143.5000,   90.35,    3.94,
  143.5000,   88.35,    3.74,
  143.5000,   86.35,    3.59,
  143.5000,   84.35,    3.55,
  143.5000,   82.35,    3.56,
  143.5000,   80.35,    3.25,
  143.5000,   78.35,    2.86,
  143.5000,   76.35,    2.86,
  143.5000,   74.35,    2.86,
  143.5000,   72.35,    2.86,
  143.5000,   70.35,    2.86,
  143.5000,   68.35,    2.86,
  144.5000,  123.90,  -99.00,
  144.5000,  123.80,    8.20,
  144.5000,  120.35,    8.19,
  144.5000,  118.35,    8.17,
  144.5000,  116.35,    8.17,
  144.5000,  114.35,    7.23,
  144.5000,  112.35,    5.90,
  144.5000,  110.35,    5.34,
  144.5000,  108.35,    5.09,
  144.5000,  106.35,    4.97,
  144.5000,  104.35,    4.89,
  144.5000,  102.35,    4.79,
  144.5000,  100.35,    4.64,
  144.5000,   98.35,    4.42,
  144.5000,   96.35,    4.16,
  144.5000,   94.35,    3.90,
  144.5000,   92.35,    3.69,
  144.5000,   90.35,    3.54,
  144.5000,   88.35,    3.46,
  144.5000,   86.35,    3.44,
  144.5000,   84.35,    3.40,
  144.5000,   82.35,    3.12,
  144.5000,   80.35,    2.80,
  144.5000,   78.35,    2.80,
  144.5000,   76.35,    2.80,
  144.5000,   74.35,    2.80,
  144.5000,   72.35,    2.80,
  144.5000,   70.35,    2.80,
  144.5000,   68.35,    2.80,
  145.5000,  123.90,  -99.00,
  145.5000,  123.80,    8.25,
  145.5000,  120.35,    8.24,
  145.5000,  118.35,    8.23,
  145.5000,  116.35,    7.96,
  145.5000,  114.35,    6.99,
  145.5000,  112.35,    5.89,
  145.5000,  110.35,    5.42,
  145.5000,  108.35,    5.19,
  145.5000,  106.35,    5.05,
  145.5000,  104.35,    4.95,
  145.5000,  102.35,    4.89,
  145.5000,  100.35,    4.83,
  145.5000,   98.35,    4.72,
  145.5000,   96.35,    4.52,
  145.5000,   94.35,    4.23,
  145.5000,   92.35,    3.91,
  145.5000,   90.35,    3.65,
  145.5000,   88.35,    3.47,
  145.5000,   86.35,    3.40,
  145.5000,   84.35,    3.40,
  145.5000,   82.35,    3.23,
  145.5000,   80.35,    2.75,
  145.5000,   78.35,    2.75,
  145.5000,   76.35,    2.75,
  145.5000,   74.35,    2.75,
  145.5000,   72.35,    2.75,
  145.5000,   70.35,    2.75,
  145.5000,   68.35,    2.75,
  146.5000,  123.90,  -99.00,
  146.5000,  123.80,    8.40,
  146.5000,  120.35,    8.34,
  146.5000,  118.35,    8.16,
  146.5000,  116.35,    7.71,
  146.5000,  114.35,    6.91,
  146.5000,  112.35,    6.21,
  146.5000,  110.35,    5.80,
  146.5000,  108.35,    5.49,
  146.5000,  106.35,    5.20,
  146.5000,  104.35,    4.98,
  146.5000,  102.35,    4.85,
  146.5000,  100.35,    4.76,
  146.5000,   98.35,    4.62,
  146.5000,   96.35,    4.40,
  146.5000,   94.35,    4.10,
  146.5000,   92.35,    3.80,
  146.5000,   90.35,    3.56,
  146.5000,   88.35,    3.40,
  146.5000,   86.35,    3.33,
  146.5000,   84.35,    3.35,
  146.5000,   82.35,    2.94,
  146.5000,   80.35,    2.73,
  146.5000,   78.35,    2.73,
  146.5000,   76.35,    2.73,
  146.5000,   74.35,    2.73,
  146.5000,   72.35,    2.73,
  146.5000,   70.35,    2.73,
  146.5000,   68.35,    2.73,
  147.5000,  123.90,  -99.00,
  147.5000,  123.80,    8.48,
  147.5000,  120.35,    8.39,
  147.5000,  118.35,    7.87,
  147.5000,  116.35,    7.38,
  147.5000,  114.35,    6.74,
  147.5000,  112.35,    6.12,
  147.5000,  110.35,    5.64,
  147.5000,  108.35,    5.27,
  147.5000,  106.35,    5.01,
  147.5000,  104.35,    4.85,
  147.5000,  102.35,    4.76,
  147.5000,  100.35,    4.66,
  147.5000,   98.35,    4.49,
  147.5000,   96.35,    4.22,
  147.5000,   94.35,    3.89,
  147.5000,   92.35,    3.61,
  147.5000,   90.35,    3.41,
  147.5000,   88.35,    3.28,
  147.5000,   86.35,    3.24,
  147.5000,   84.35,    3.25,
  147.5000,   82.35,    2.91,
  147.5000,   80.35,    2.67,
  147.5000,   78.35,    2.67,
  147.5000,   76.35,    2.67,
  147.5000,   74.35,    2.67,
  147.5000,   72.35,    2.67,
  147.5000,   70.35,    2.67,
  147.5000,   68.35,    2.67,
  148.5000,  123.90,  -99.00,
  148.5000,  123.80,    8.58,
  148.5000,  120.35,    8.42,
  148.5000,  118.35,    7.86,
  148.5000,  116.35,    7.13,
  148.5000,  114.35,    6.45,
  148.5000,  112.35,    5.80,
  148.5000,  110.35,    5.31,
  148.5000,  108.35,    4.99,
  148.5000,  106.35,    4.82,
  148.5000,  104.35,    4.73,
  148.5000,  102.35,    4.68,
  148.5000,  100.35,    4.61,
  148.5000,   98.35,    4.48,
  148.5000,   96.35,    4.26,
  148.5000,   94.35,    3.97,
  148.5000,   92.35,    3.67,
  148.5000,   90.35,    3.43,
  148.5000,   88.35,    3.25,
  148.5000,   86.35,    3.17,
  148.5000,   84.35,    3.19,
  148.5000,   82.35,    3.01,
  148.5000,   80.35,    2.62,
  148.5000,   78.35,    2.62,
  148.5000,   76.35,    2.62,
  148.5000,   74.35,    2.62,
  148.5000,   72.35,    2.62,
  148.5000,   70.35,    2.62,
  148.5000,   68.35,    2.62,
  149.5000,  123.90,  -99.00,
  149.5000,  123.80,    8.73,
  149.5000,  120.35,    8.63,
  149.5000,  118.35,    8.08,
  149.5000,  116.35,    7.17,
  149.5000,  114.35,    6.35,
  149.5000,  112.35,    5.64,
  149.5000,  110.35,    5.14,
  149.5000,  108.35,    4.87,
  149.5000,  106.35,    4.73,
  149.5000,  104.35,    4.66,
  149.5000,  102.35,    4.62,
