JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     TDS,    Gen1,    Gen3,    ISS1,      N2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,MICROCYS,     EPI,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,NH4NITR (kg/d),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),NH3GAS  (kg/d),NO3DEN  (kg/d),NO3AG   (kg/d),NO3EG   (kg/d),NO3SED  (kg/d),LDOMDK  (kg/d),LRDOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d), CO2GASX(kg/d), SD_C_IN(kg/d), SD_N_IN(kg/d), SD_P_IN(kg/d), DOSEDIA(kg/d),PLIM_ALG1    ,NLIM_ALG1    ,LLIM_ALG1    ,
   124.104,   600.000,   123.798,    17.960,     0.026,    12.828,     0.000,     0.451,    51.448,  2866.000,     1.000,    13.557,   -72.095,     0.000,   362.059,   395.708,    35.232,     3.215,     0.172,    51.203,   100.000,     0.000,     0.003,    16.181,     0.051,     0.108,     0.413,     0.000,     2.203,     0.001,     0.002,     8.492,     7.951,    30.773, 0.437E-03,     0.000,    0.6975,    0.0011,    0.0621,     0.004,     0.006,     7.490,     3.329, 0.457E+02, 0.439E-01, 0.000E+00, 0.439E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.604E-01, 0.144E+01, 0.150E+01, 0.000E+00, 0.000E+00, 0.264E+00, 0.209E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.966E+00, 0.322E-01, 0.139E+04, 0.000E+00,-0.619E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.736E+03,     0.944,     0.974,     0.000,
   124.201,   600.000,   123.799,    17.973,     0.032,    12.912,     0.000,     0.451,    51.449,  2866.000,     1.000,    13.732,   -77.919,     0.000,   358.995,   395.789,    35.546,     5.579,     0.172,    51.205,   100.000,     0.000,     0.003,    16.151,     0.051,     0.108,     0.415,     0.000,     2.205,     0.001,     0.002,     8.483,     7.941,    30.770, 0.434E-03,     0.000,    0.6991,    0.0012,    0.0622,     0.004,     0.006,     7.500,     3.328, 0.458E+02, 0.490E-01, 0.000E+00, 0.490E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.591E-01, 0.144E+01, 0.150E+01, 0.000E+00, 0.000E+00, 0.298E+00, 0.210E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.939E+00, 0.313E-01, 0.140E+04, 0.000E+00,-0.599E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.736E+03,     0.944,     0.974,     0.000,
   124.306,   600.000,   123.799,    17.968,     0.030,    12.783,   183.475,     0.451,    51.449,  2866.000,     1.000,    13.954,    88.003,   173.089,   343.517,   395.735,    34.160,    -1.292,     0.172,    51.207,   100.000,     0.000,     0.003,    16.132,     0.051,     0.108,     0.416,     0.000,     2.209,     0.001,     0.002,     8.460,     7.936,    30.764, 0.428E-03,     0.000,    0.7014,    0.0012,    0.0623,     0.004,     0.006,     7.500,     3.328, 0.460E+02, 0.573E-01, 0.447E+00,-0.389E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.578E-01, 0.144E+01, 0.150E+01, 0.000E+00, 0.000E+00, 0.268E+00, 0.211E+00, 0.172E+01, 0.000E+00, 0.000E+00, 0.928E+00, 0.309E-01, 0.144E+04, 0.000E+00,-0.598E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.736E+03,     0.945,     0.974,     0.755,
   124.403,   600.000,   123.799,    18.145,     0.023,    12.268,   722.802,     0.451,    51.449,  2866.000,     1.000,    14.144,   607.083,   681.889,   340.361,   396.606,    33.344,   -14.783,     0.173,    51.209,   100.000,     0.000,     0.003,    16.120,     0.051,     0.109,     0.417,     0.000,     2.214,     0.001,     0.003,     8.442,     7.933,    30.758, 0.424E-03,     0.000,    0.7036,    0.0012,    0.0624,     0.005,     0.007,     7.500,     3.327, 0.464E+02, 0.739E-01, 0.573E+00,-0.499E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.575E-01, 0.145E+01, 0.151E+01, 0.000E+00, 0.000E+00, 0.203E+00, 0.213E+00, 0.220E+01, 0.000E+00, 0.000E+00, 0.928E+00, 0.309E-01, 0.142E+04, 0.000E+00,-0.600E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.737E+03,     0.945,     0.974,     0.751,
   124.500,   600.000,   123.799,    18.508,     0.003,    12.506,   933.538,     0.451,    51.449,  2866.000,     1.000,    14.280,   833.764,   880.696,   361.386,   398.550,    36.910,   -27.142,     0.174,    51.211,   100.000,     0.000,     0.003,    16.107,     0.051,     0.109,     0.418,     0.000,     2.216,     0.001,     0.003,     8.435,     7.929,    30.755, 0.425E-03,     0.000,    0.7049,    0.0012,    0.0625,     0.005,     0.007,     7.500,     3.326, 0.470E+02, 0.852E-01, 0.541E+00,-0.456E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.581E-01, 0.148E+01, 0.154E+01, 0.000E+00, 0.000E+00, 0.212E+00, 0.216E+00, 0.208E+01, 0.000E+00, 0.000E+00, 0.941E+00, 0.314E-01, 0.133E+04, 0.000E+00,-0.602E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.741E+03,     0.945,     0.974,     0.615,
   124.604,   600.000,   123.798,    18.794,    -0.020,    12.367,   521.894,     0.451,    51.448,  2866.000,     1.000,    14.243,   404.935,   492.353,   360.457,   400.229,    55.871,    -8.223,     0.208,    51.210,   100.000,     0.000,     0.003,    16.094,     0.051,     0.108,     0.419,     0.000,     2.214,     0.001,     0.003,     8.443,     7.925,    30.757, 0.434E-03,     0.000,    0.7046,    0.0012,    0.0625,     0.005,     0.007,     7.500,     3.326, 0.471E+02, 0.868E-01, 0.777E+00,-0.690E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.591E-01, 0.150E+01, 0.156E+01, 0.000E+00, 0.000E+00, 0.453E+00, 0.218E+00, 0.300E+01, 0.000E+00, 0.000E+00, 0.949E+00, 0.316E-01, 0.147E+04, 0.000E+00,-0.715E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.749E+03,     0.945,     0.974,     0.870,
   124.701,   600.000,   123.798,    18.792,    -0.030,    12.386,   253.166,     0.451,    51.448,  2866.000,     1.000,    13.985,   158.612,   238.836,   360.118,   400.269,    49.385,    -9.312,     0.175,    51.207,   100.000,     0.000,     0.003,    16.086,     0.051,     0.107,     0.418,     0.000,     2.210,     0.001,     0.003,     8.461,     7.923,    30.762, 0.447E-03,     0.000,    0.7030,    0.0012,    0.0624,     0.005,     0.007,     7.510,     3.327, 0.467E+02, 0.795E-01, 0.694E+00,-0.614E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.600E-01, 0.149E+01, 0.155E+01, 0.000E+00, 0.000E+00, 0.384E+00, 0.217E+00, 0.270E+01, 0.000E+00, 0.000E+00, 0.944E+00, 0.315E-01, 0.121E+04, 0.000E+00,-0.586E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.752E+03,     0.945,     0.974,     0.855,
   124.806,   600.000,   123.798,    18.674,    -0.026,    12.517,     0.000,     0.451,    51.448,  2866.000,     1.000,    13.669,   -81.214,     0.000,   349.590,   399.661,    38.869,    -7.726,     0.175,    51.205,   100.000,     0.000,     0.003,    16.091,     0.051,     0.106,     0.418,     0.000,     2.205,     0.001,     0.003,     8.474,     7.925,    30.768, 0.459E-03,     0.000,    0.7013,    0.0012,    0.0623,     0.004,     0.006,     7.510,     3.328, 0.461E+02, 0.643E-01, 0.000E+00, 0.643E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.609E-01, 0.148E+01, 0.154E+01, 0.000E+00, 0.000E+00, 0.161E+00, 0.216E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.948E+00, 0.316E-01, 0.122E+04, 0.000E+00,-0.585E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.752E+03,     0.945,     0.974,     0.000,
   124.903,   600.000,   123.797,    18.563,    -0.014,    12.438,     0.000,     0.451,    51.447,  2866.000,     1.000,    13.444,  -113.884,     0.000,   326.623,   399.040,    38.713,     2.753,     0.174,    51.203,   100.000,     0.000,     0.003,    16.089,     0.051,     0.106,     0.418,     0.000,     2.202,     0.001,     0.002,     8.484,     7.926,    30.771, 0.467E-03,     0.000,    0.7002,    0.0012,    0.0623,     0.004,     0.006,     7.510,     3.328, 0.456E+02, 0.508E-01, 0.000E+00, 0.508E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.611E-01, 0.147E+01, 0.153E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.215E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.936E+00, 0.312E-01, 0.123E+04, 0.000E+00,-0.584E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.751E+03,     0.945,     0.974,     0.000,
   125.000,   600.000,   123.797,    18.472,    -0.003,    12.610,     0.000,     0.451,    51.447,  2866.000,     1.000,    13.353,  -146.946,     0.000,   302.475,   398.539,    41.127,     9.756,     0.174,    51.203,   100.000,     0.000,     0.003,    16.079,     0.051,     0.105,     0.418,     0.000,     2.201,     0.001,     0.002,     8.492,     7.922,    30.773, 0.471E-03,     0.000,    0.6999,    0.0012,    0.0623,     0.003,     0.006,     7.510,     3.329, 0.453E+02, 0.452E-01, 0.000E+00, 0.452E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.606E-01, 0.147E+01, 0.153E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.215E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.920E+00, 0.307E-01, 0.125E+04, 0.000E+00,-0.583E+03, 0.000E+00, 0.000E+00, 0.000E+00,-0.749E+03,     0.945,     0.974,     0.000,
