Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    79.500,      0.00,      0.04,      0.04,      0.03,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    80.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    81.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    82.500,      0.00,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    83.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    84.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    85.500,      0.00,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    86.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    87.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    88.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    89.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    90.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    91.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.04,      0.04,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    92.500,      0.00,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.04,      0.04,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    93.500,      0.00,      0.05,      0.04,      0.04,      0.04,      0.04,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    94.500,      0.00,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.00,
NO3PorewaterAnaerobic_KB_Layer2(mgN/L),    95.500,      0.00,      0.06,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.05,      0.00,
