$STR WITHDRAWAL AT SEG31                                     ELEV OF WITHDRAWAL CENTERLINE:115.     

JDAY,QWD(m3s-1)
    93.000,   12.6000
    93.104,   12.6000
    93.201,   12.6000
    93.306,   12.6000
    93.403,   12.6000
    93.500,   12.6000
    93.604,   12.6000
    93.701,   12.6000
    93.806,   12.6000
    93.903,   12.6000
    94.000,   12.6000
    94.104,   12.6000
    94.201,   12.6000
    94.306,   12.6000
    94.403,   12.6000
    94.500,   12.6000
    94.604,   12.6000
    94.701,   12.6000
    94.806,   12.6000
    94.903,   12.6000
    95.000,   12.6000
    95.104,   12.6000
    95.201,   12.6000
    95.306,   12.6000
    95.403,   12.6000
    95.500,   12.6000
    95.604,   12.6000
    95.701,   12.6000
    95.806,   12.6000
    95.903,   12.6000
    96.000,   12.6000
    96.104,   12.6000
    96.201,   12.6000
    96.306,   12.6000
    96.403,   12.6000
    96.500,   12.6000
    96.604,   12.6000
    96.701,   12.6000
    96.806,   12.6000
    96.903,   12.6000
    97.000,   12.6000
    97.104,   12.6000
    97.201,   12.6000
    97.306,   12.6000
    97.403,   12.6000
    97.500,   12.6000
    97.604,   12.6000
    97.701,   12.6000
    97.806,   12.6000
    97.903,   12.6000
    98.000,   12.6000
    98.104,   12.6000
    98.201,   12.6000
    98.306,   12.6000
    98.403,   12.6000
    98.500,   12.6000
    98.604,   12.6000
    98.701,   12.6000
    98.806,   12.6000
    98.903,   12.6000
    99.000,   12.6000
    99.104,   12.6000
    99.201,   12.6000
    99.306,   12.6000
    99.403,   12.6000
    99.500,   12.6000
    99.604,   12.6000
    99.701,   12.6000
    99.806,   12.6000
    99.903,   12.6000
   100.000,   12.6000
   100.104,   12.6000
   100.201,   12.6000
   100.306,   12.6000
   100.403,   12.6000
   100.500,   12.6000
   100.604,   12.6000
   100.701,   12.6000
   100.806,   12.6000
   100.903,   12.6000
   101.000,   12.6000
   101.104,   12.6000
   101.201,   12.6000
   101.306,   12.6000
   101.403,   12.6000
   101.500,   12.6000
   101.604,   12.6000
   101.701,   12.6000
   101.806,   12.6000
   101.903,   12.6000
   102.000,   12.6000
   102.104,   12.6000
   102.201,   12.6000
   102.306,   12.6000
   102.403,   12.6000
   102.500,   12.6000
   102.604,   12.6000
   102.701,   12.6000
   102.806,   12.6000
   102.903,   12.6000
   103.000,   12.6000
   103.104,   12.6000
   103.201,   12.6000
   103.306,   12.6000
   103.403,   12.6000
   103.500,   12.6000
   103.604,   12.6000
   103.701,   12.6000
   103.806,   12.6000
   103.903,   12.6000
   104.000,   12.6000
   104.104,   12.6000
   104.201,   12.6000
   104.306,   12.6000
   104.403,   12.6000
   104.500,   12.6000
   104.604,   12.6000
   104.701,   12.6000
   104.806,   12.6000
   104.903,   12.6000
   105.000,   12.6000
   105.104,   12.6000
   105.201,   12.6000
   105.306,   12.6000
   105.403,   12.6000
   105.500,   12.6000
   105.604,   12.6000
   105.701,   12.6000
   105.806,   12.6000
   105.903,   12.6000
   106.000,   12.6000
   106.104,   12.6000
   106.201,   12.6000
   106.306,   12.6000
   106.403,   12.6000
   106.500,   12.6000
   106.604,   12.6000
   106.701,   12.6000
   106.806,   12.6000
   106.903,   12.6000
   107.000,   12.6000
   107.104,   12.6000
   107.201,   12.6000
   107.306,   12.6000
   107.403,   12.6000
   107.500,   12.6000
   107.604,   12.6000
   107.701,   12.6000
   107.806,   12.6000
   107.903,   12.6000
   108.000,   12.6000
   108.104,   12.6000
   108.201,   12.6000
   108.306,   12.6000
   108.403,   12.6000
   108.500,   12.6000
   108.604,   12.6000
   108.701,   12.6000
   108.806,   12.6000
   108.903,   12.6000
   109.000,   12.6000
   109.104,   12.6000
   109.201,   12.6000
   109.306,   12.6000
   109.403,   12.6000
   109.500,   12.6000
   109.604,   12.6000
   109.701,   12.6000
   109.806,   12.6000
   109.903,   12.6000
   110.000,   12.6000
   110.104,   12.6000
   110.201,   12.6000
   110.306,   12.6000
   110.403,   12.6000
   110.500,   12.6000
   110.604,   12.6000
   110.701,   12.6000
   110.806,   12.6000
   110.903,   12.6000
   111.000,   12.6000
   111.104,   12.6000
   111.201,   12.6000
   111.306,   12.6000
   111.403,   12.6000
   111.500,   12.6000
   111.604,   12.6000
   111.701,   12.6000
   111.806,   12.6000
   111.903,   12.6000
   112.000,   12.6000
   112.104,   12.6000
   112.201,   12.6000
   112.306,   12.6000
   112.403,   12.6000
   112.500,   12.6000
   112.604,   12.6000
   112.701,   12.6000
   112.806,   12.6000
   112.903,   12.6000
   113.000,   12.6000
   113.104,   12.6000
   113.201,   12.6000
   113.306,   12.6000
   113.403,   12.6000
   113.500,   12.6000
   113.604,   12.6000
   113.701,   12.6000
   113.806,   12.6000
   113.903,   12.6000
   114.000,   12.6000
   114.104,   12.6000
   114.201,   12.6000
   114.306,   12.6000
   114.403,   12.6000
   114.500,   12.6000
   114.604,   12.6000
   114.701,   12.6000
   114.806,   12.6000
   114.903,   12.6000
   115.000,   12.6000
   115.104,   12.6000
   115.201,   12.6000
   115.306,   12.6000
   115.403,   12.6000
   115.500,   12.6000
   115.604,   12.6000
   115.701,   12.6000
   115.806,   12.6000
   115.903,   12.6000
   116.000,   12.6000
