 JDAY,ELEVATION(m),TEMPERATURE(C)
   70.5000,  100.35,    6.81,
   70.5000,   98.35,    6.77,
   70.5000,   96.35,    6.74,
   70.5000,   94.35,    6.71,
   70.5000,   92.35,    6.68,
   70.5000,   90.35,    6.65,
   70.5000,   88.35,    6.63,
   70.5000,   86.35,    6.61,
   70.5000,   84.35,    6.59,
   70.5000,   82.35,    6.57,
   70.5000,   80.35,    6.55,
   70.5000,   78.35,    6.54,
   70.5000,   76.35,    6.54,
   70.5000,   74.35,    6.54,
   70.5000,   72.35,    6.54,
   70.5000,   70.35,    6.54,
   70.5000,   68.35,    6.54,
   71.5000,  123.90,  -99.00,
   71.5000,  123.80,    9.42,
   71.5000,  120.35,    9.36,
   71.5000,  118.35,    9.23,
   71.5000,  116.35,    8.60,
   71.5000,  114.35,    7.94,
   71.5000,  112.35,    7.44,
   71.5000,  110.35,    7.18,
   71.5000,  108.35,    7.04,
   71.5000,  106.35,    6.97,
   71.5000,  104.35,    6.91,
   71.5000,  102.35,    6.86,
   71.5000,  100.35,    6.81,
   71.5000,   98.35,    6.78,
   71.5000,   96.35,    6.75,
   71.5000,   94.35,    6.72,
   71.5000,   92.35,    6.69,
   71.5000,   90.35,    6.66,
   71.5000,   88.35,    6.64,
   71.5000,   86.35,    6.62,
   71.5000,   84.35,    6.60,
   71.5000,   82.35,    6.58,
   71.5000,   80.35,    6.56,
   71.5000,   78.35,    6.55,
   71.5000,   76.35,    6.55,
   71.5000,   74.35,    6.55,
   71.5000,   72.35,    6.55,
   71.5000,   70.35,    6.55,
   71.5000,   68.35,    6.55,
   72.5000,  123.90,  -99.00,
   72.5000,  123.80,    7.96,
   72.5000,  120.35,    7.63,
   72.5000,  118.35,    7.33,
   72.5000,  116.35,    7.27,
   72.5000,  114.35,    7.17,
   72.5000,  112.35,    7.14,
   72.5000,  110.35,    7.08,
   72.5000,  108.35,    7.03,
   72.5000,  106.35,    6.98,
   72.5000,  104.35,    6.94,
   72.5000,  102.35,    6.90,
   72.5000,  100.35,    6.85,
   72.5000,   98.35,    6.81,
   72.5000,   96.35,    6.77,
   72.5000,   94.35,    6.74,
   72.5000,   92.35,    6.70,
   72.5000,   90.35,    6.67,
   72.5000,   88.35,    6.64,
   72.5000,   86.35,    6.62,
   72.5000,   84.35,    6.61,
   72.5000,   82.35,    6.59,
   72.5000,   80.35,    6.57,
   72.5000,   78.35,    6.55,
   72.5000,   76.35,    6.55,
   72.5000,   74.35,    6.55,
   72.5000,   72.35,    6.55,
   72.5000,   70.35,    6.55,
   72.5000,   68.35,    6.55,
   73.5000,  123.91,  -99.00,
   73.5000,  123.81,    7.94,
   73.5000,  120.35,    7.84,
   73.5000,  118.35,    7.77,
   73.5000,  116.35,    7.75,
   73.5000,  114.35,    7.69,
   73.5000,  112.35,    7.63,
   73.5000,  110.35,    7.58,
   73.5000,  108.35,    7.53,
   73.5000,  106.35,    7.47,
   73.5000,  104.35,    7.40,
   73.5000,  102.35,    7.32,
   73.5000,  100.35,    7.25,
   73.5000,   98.35,    7.18,
   73.5000,   96.35,    7.13,
   73.5000,   94.35,    7.07,
   73.5000,   92.35,    7.01,
   73.5000,   90.35,    6.95,
   73.5000,   88.35,    6.87,
   73.5000,   86.35,    6.79,
   73.5000,   84.35,    6.72,
   73.5000,   82.35,    6.67,
   73.5000,   80.35,    6.62,
   73.5000,   78.35,    6.59,
   73.5000,   76.35,    6.57,
   73.5000,   74.35,    6.56,
   73.5000,   72.35,    6.56,
   73.5000,   70.35,    6.56,
   73.5000,   68.35,    6.56,
   74.5000,  123.90,  -99.00,
   74.5000,  123.80,    9.14,
   74.5000,  120.35,    8.92,
   74.5000,  118.35,    8.85,
   74.5000,  116.35,    8.84,
   74.5000,  114.35,    8.83,
   74.5000,  112.35,    8.83,
   74.5000,  110.35,    8.82,
   74.5000,  108.35,    8.82,
   74.5000,  106.35,    8.82,
   74.5000,  104.35,    8.81,
   74.5000,  102.35,    8.80,
   74.5000,  100.35,    8.80,
   74.5000,   98.35,    8.79,
   74.5000,   96.35,    8.73,
   74.5000,   94.35,    8.53,
   74.5000,   92.35,    8.18,
   74.5000,   90.35,    7.80,
   74.5000,   88.35,    7.48,
   74.5000,   86.35,    7.26,
   74.5000,   84.35,    7.09,
   74.5000,   82.35,    6.95,
   74.5000,   80.35,    6.82,
   74.5000,   78.35,    6.71,
   74.5000,   76.35,    6.66,
   74.5000,   74.35,    6.66,
   74.5000,   72.35,    6.66,
   74.5000,   70.35,    6.66,
   74.5000,   68.35,    6.66,
   75.5000,  123.90,  -99.00,
   75.5000,  123.80,    8.97,
   75.5000,  120.35,    8.73,
   75.5000,  118.35,    8.46,
   75.5000,  116.35,    8.11,
   75.5000,  114.35,    7.91,
   75.5000,  112.35,    7.82,
   75.5000,  110.35,    7.75,
   75.5000,  108.35,    7.66,
   75.5000,  106.35,    7.57,
   75.5000,  104.35,    7.49,
   75.5000,  102.35,    7.41,
   75.5000,  100.35,    7.33,
   75.5000,   98.35,    7.27,
   75.5000,   96.35,    7.21,
   75.5000,   94.35,    7.17,
   75.5000,   92.35,    7.12,
   75.5000,   90.35,    7.08,
   75.5000,   88.35,    7.04,
   75.5000,   86.35,    7.01,
   75.5000,   84.35,    6.98,
   75.5000,   82.35,    6.93,
   75.5000,   80.35,    6.87,
   75.5000,   78.35,    6.81,
   75.5000,   76.35,    6.75,
   75.5000,   74.35,    6.70,
   75.5000,   72.35,    6.69,
   75.5000,   70.35,    6.69,
   75.5000,   68.35,    6.69,
   76.5000,  123.90,  -99.00,
   76.5000,  123.80,    8.10,
   76.5000,  120.35,    7.88,
   76.5000,  118.35,    7.65,
   76.5000,  116.35,    7.60,
   76.5000,  114.35,    7.50,
   76.5000,  112.35,    7.43,
   76.5000,  110.35,    7.37,
   76.5000,  108.35,    7.31,
   76.5000,  106.35,    7.26,
   76.5000,  104.35,    7.21,
   76.5000,  102.35,    7.18,
   76.5000,  100.35,    7.14,
   76.5000,   98.35,    7.10,
   76.5000,   96.35,    7.07,
   76.5000,   94.35,    7.04,
   76.5000,   92.35,    7.01,
   76.5000,   90.35,    6.97,
   76.5000,   88.35,    6.92,
   76.5000,   86.35,    6.88,
   76.5000,   84.35,    6.85,
   76.5000,   82.35,    6.82,
   76.5000,   80.35,    6.80,
   76.5000,   78.35,    6.79,
   76.5000,   76.35,    6.77,
   76.5000,   74.35,    6.74,
   76.5000,   72.35,    6.73,
   76.5000,   70.35,    6.73,
   76.5000,   68.35,    6.72,
   77.5000,  123.90,  -99.00,
   77.5000,  123.80,    8.26,
   77.5000,  120.35,    8.22,
   77.5000,  118.35,    8.15,
   77.5000,  116.35,    8.06,
   77.5000,  114.35,    7.97,
   77.5000,  112.35,    7.89,
   77.5000,  110.35,    7.83,
   77.5000,  108.35,    7.80,
   77.5000,  106.35,    7.77,
   77.5000,  104.35,    7.74,
   77.5000,  102.35,    7.70,
   77.5000,  100.35,    7.64,
   77.5000,   98.35,    7.58,
   77.5000,   96.35,    7.51,
   77.5000,   94.35,    7.44,
   77.5000,   92.35,    7.35,
   77.5000,   90.35,    7.24,
   77.5000,   88.35,    7.15,
   77.5000,   86.35,    7.07,
   77.5000,   84.35,    7.00,
   77.5000,   82.35,    6.92,
   77.5000,   80.35,    6.86,
   77.5000,   78.35,    6.83,
   77.5000,   76.35,    6.81,
   77.5000,   74.35,    6.79,
   77.5000,   72.35,    6.76,
   77.5000,   70.35,    6.75,
   77.5000,   68.35,    6.74,
   78.5000,  123.90,  -99.00,
   78.5000,  123.80,    9.25,
   78.5000,  120.35,    9.04,
   78.5000,  118.35,    8.93,
   78.5000,  116.35,    8.89,
   78.5000,  114.35,    8.88,
   78.5000,  112.35,    8.87,
   78.5000,  110.35,    8.87,
   78.5000,  108.35,    8.87,
   78.5000,  106.35,    8.86,
   78.5000,  104.35,    8.86,
   78.5000,  102.35,    8.86,
   78.5000,  100.35,    8.86,
   78.5000,   98.35,    8.86,
   78.5000,   96.35,    8.68,
   78.5000,   94.35,    8.32,
   78.5000,   92.35,    7.91,
   78.5000,   90.35,    7.58,
   78.5000,   88.35,    7.33,
   78.5000,   86.35,    7.13,
   78.5000,   84.35,    7.02,
   78.5000,   82.35,    6.93,
   78.5000,   80.35,    6.87,
   78.5000,   78.35,    6.82,
   78.5000,   76.35,    6.79,
   78.5000,   74.35,    6.78,
   78.5000,   72.35,    6.78,
   78.5000,   70.35,    6.78,
   78.5000,   68.35,    6.78,
   79.5000,  123.90,  -99.00,
   79.5000,  123.80,    9.18,
   79.5000,  120.35,    9.06,
   79.5000,  118.35,    8.92,
   79.5000,  116.35,    8.89,
   79.5000,  114.35,    8.67,
   79.5000,  112.35,    8.24,
   79.5000,  110.35,    7.74,
   79.5000,  108.35,    7.44,
   79.5000,  106.35,    7.38,
   79.5000,  104.35,    7.38,
   79.5000,  102.35,    7.37,
   79.5000,  100.35,    7.31,
   79.5000,   98.35,    7.24,
   79.5000,   96.35,    7.17,
   79.5000,   94.35,    7.12,
   79.5000,   92.35,    7.08,
   79.5000,   90.35,    7.05,
   79.5000,   88.35,    7.02,
   79.5000,   86.35,    7.00,
   79.5000,   84.35,    6.97,
   79.5000,   82.35,    6.94,
   79.5000,   80.35,    6.90,
   79.5000,   78.35,    6.86,
   79.5000,   76.35,    6.83,
   79.5000,   74.35,    6.81,
   79.5000,   72.35,    6.79,
   79.5000,   70.35,    6.79,
   79.5000,   68.35,    6.79,
   80.5000,  123.90,  -99.00,
   80.5000,  123.80,    9.25,
   80.5000,  120.35,    9.01,
   80.5000,  118.35,    8.73,
   80.5000,  116.35,    8.61,
   80.5000,  114.35,    8.44,
   80.5000,  112.35,    8.18,
   80.5000,  110.35,    7.85,
   80.5000,  108.35,    7.57,
   80.5000,  106.35,    7.44,
   80.5000,  104.35,    7.34,
   80.5000,  102.35,    7.22,
   80.5000,  100.35,    7.13,
   80.5000,   98.35,    7.08,
   80.5000,   96.35,    7.05,
   80.5000,   94.35,    7.01,
   80.5000,   92.35,    6.98,
   80.5000,   90.35,    6.96,
   80.5000,   88.35,    6.95,
   80.5000,   86.35,    6.94,
   80.5000,   84.35,    6.91,
   80.5000,   82.35,    6.89,
   80.5000,   80.35,    6.88,
   80.5000,   78.35,    6.86,
   80.5000,   76.35,    6.84,
   80.5000,   74.35,    6.82,
   80.5000,   72.35,    6.81,
   80.5000,   70.35,    6.81,
   80.5000,   68.35,    6.81,
   81.5000,  123.90,  -99.00,
   81.5000,  123.80,    9.86,
   81.5000,  120.35,    9.70,
   81.5000,  118.35,    9.58,
   81.5000,  116.35,    9.53,
   81.5000,  114.35,    9.50,
   81.5000,  112.35,    9.50,
   81.5000,  110.35,    9.49,
   81.5000,  108.35,    9.49,
   81.5000,  106.35,    9.49,
   81.5000,  104.35,    9.49,
   81.5000,  102.35,    9.49,
   81.5000,  100.35,    9.49,
   81.5000,   98.35,    9.49,
   81.5000,   96.35,    9.45,
   81.5000,   94.35,    8.46,
   81.5000,   92.35,    7.46,
   81.5000,   90.35,    7.14,
   81.5000,   88.35,    7.03,
   81.5000,   86.35,    6.98,
   81.5000,   84.35,    6.95,
   81.5000,   82.35,    6.92,
   81.5000,   80.35,    6.90,
   81.5000,   78.35,    6.87,
   81.5000,   76.35,    6.85,
   81.5000,   74.35,    6.84,
   81.5000,   72.35,    6.84,
   81.5000,   70.35,    6.84,
   81.5000,   68.35,    6.84,
   82.5000,  123.90,  -99.00,
   82.5000,  123.80,   10.48,
   82.5000,  120.35,   10.24,
   82.5000,  118.35,   10.04,
   82.5000,  116.35,    9.79,
   82.5000,  114.35,    9.57,
   82.5000,  112.35,    9.37,
   82.5000,  110.35,    9.05,
   82.5000,  108.35,    8.60,
   82.5000,  106.35,    8.07,
   82.5000,  104.35,    7.57,
   82.5000,  102.35,    7.23,
   82.5000,  100.35,    7.10,
   82.5000,   98.35,    7.09,
   82.5000,   96.35,    7.07,
   82.5000,   94.35,    7.05,
   82.5000,   92.35,    7.03,
   82.5000,   90.35,    7.00,
   82.5000,   88.35,    6.98,
   82.5000,   86.35,    6.96,
   82.5000,   84.35,    6.94,
   82.5000,   82.35,    6.92,
   82.5000,   80.35,    6.91,
   82.5000,   78.35,    6.89,
   82.5000,   76.35,    6.87,
   82.5000,   74.35,    6.86,
   82.5000,   72.35,    6.85,
   82.5000,   70.35,    6.85,
   82.5000,   68.35,    6.85,
   83.5000,  123.90,  -99.00,
   83.5000,  123.80,    9.72,
   83.5000,  120.35,    9.43,
   83.5000,  118.35,    9.06,
   83.5000,  116.35,    9.06,
   83.5000,  114.35,    8.87,
   83.5000,  112.35,    8.58,
   83.5000,  110.35,    8.14,
   83.5000,  108.35,    7.69,
   83.5000,  106.35,    7.40,
   83.5000,  104.35,    7.28,
   83.5000,  102.35,    7.21,
   83.5000,  100.35,    7.16,
   83.5000,   98.35,    7.13,
   83.5000,   96.35,    7.11,
   83.5000,   94.35,    7.10,
   83.5000,   92.35,    7.08,
   83.5000,   90.35,    7.07,
   83.5000,   88.35,    7.06,
   83.5000,   86.35,    7.04,
   83.5000,   84.35,    7.03,
   83.5000,   82.35,    7.01,
   83.5000,   80.35,    6.98,
   83.5000,   78.35,    6.95,
   83.5000,   76.35,    6.92,
   83.5000,   74.35,    6.89,
   83.5000,   72.35,    6.87,
   83.5000,   70.35,    6.87,
   83.5000,   68.35,    6.87,
   84.5000,  123.90,  -99.00,
   84.5000,  123.80,    9.40,
   84.5000,  120.35,    9.38,
   84.5000,  118.35,    9.36,
   84.5000,  116.35,    9.34,
   84.5000,  114.35,    9.33,
   84.5000,  112.35,    9.29,
   84.5000,  110.35,    9.26,
   84.5000,  108.35,    9.24,
   84.5000,  106.35,    9.20,
   84.5000,  104.35,    9.11,
   84.5000,  102.35,    8.97,
   84.5000,  100.35,    8.82,
   84.5000,   98.35,    8.69,
   84.5000,   96.35,    8.57,
   84.5000,   94.35,    8.39,
   84.5000,   92.35,    8.12,
   84.5000,   90.35,    7.79,
   84.5000,   88.35,    7.51,
   84.5000,   86.35,    7.30,
   84.5000,   84.35,    7.18,
   84.5000,   82.35,    7.11,
   84.5000,   80.35,    7.06,
   84.5000,   78.35,    7.02,
   84.5000,   76.35,    6.98,
   84.5000,   74.35,    6.94,
   84.5000,   72.35,    6.90,
   84.5000,   70.35,    6.88,
   84.5000,   68.35,    6.88,
   85.5000,  123.90,  -99.00,
   85.5000,  123.80,   10.01,
   85.5000,  120.35,    9.95,
   85.5000,  118.35,    9.93,
   85.5000,  116.35,    9.92,
   85.5000,  114.35,    9.92,
   85.5000,  112.35,    9.92,
   85.5000,  110.35,    9.92,
   85.5000,  108.35,    9.92,
   85.5000,  106.35,    9.92,
   85.5000,  104.35,    9.92,
   85.5000,  102.35,    9.92,
   85.5000,  100.35,    9.91,
   85.5000,   98.35,    9.88,
   85.5000,   96.35,    9.63,
   85.5000,   94.35,    8.81,
   85.5000,   92.35,    7.81,
   85.5000,   90.35,    7.27,
   85.5000,   88.35,    7.14,
   85.5000,   86.35,    7.10,
   85.5000,   84.35,    7.06,
   85.5000,   82.35,    7.03,
   85.5000,   80.35,    7.00,
   85.5000,   78.35,    6.97,
   85.5000,   76.35,    6.94,
   85.5000,   74.35,    6.91,
   85.5000,   72.35,    6.90,
   85.5000,   70.35,    6.90,
   85.5000,   68.35,    6.90,
   86.5000,  123.90,  -99.00,
   86.5000,  123.80,    9.78,
   86.5000,  120.35,    9.68,
   86.5000,  118.35,    9.44,
   86.5000,  116.35,    8.99,
   86.5000,  114.35,    8.60,
   86.5000,  112.35,    8.19,
   86.5000,  110.35,    7.85,
   86.5000,  108.35,    7.65,
   86.5000,  106.35,    7.53,
   86.5000,  104.35,    7.44,
   86.5000,  102.35,    7.37,
   86.5000,  100.35,    7.32,
   86.5000,   98.35,    7.28,
   86.5000,   96.35,    7.25,
   86.5000,   94.35,    7.22,
   86.5000,   92.35,    7.19,
   86.5000,   90.35,    7.18,
   86.5000,   88.35,    7.17,
   86.5000,   86.35,    7.16,
   86.5000,   84.35,    7.14,
   86.5000,   82.35,    7.10,
   86.5000,   80.35,    7.07,
   86.5000,   78.35,    7.03,
   86.5000,   76.35,    7.01,
   86.5000,   74.35,    6.96,
   86.5000,   72.35,    6.94,
   86.5000,   70.35,    6.93,
   86.5000,   68.35,    6.93,
   87.5000,  123.90,  -99.00,
   87.5000,  123.80,    9.33,
   87.5000,  120.35,    9.13,
   87.5000,  118.35,    8.92,
   87.5000,  116.35,    8.85,
   87.5000,  114.35,    8.77,
   87.5000,  112.35,    8.68,
   87.5000,  110.35,    8.58,
   87.5000,  108.35,    8.47,
   87.5000,  106.35,    8.35,
   87.5000,  104.35,    8.19,
   87.5000,  102.35,    8.02,
   87.5000,  100.35,    7.85,
   87.5000,   98.35,    7.67,
   87.5000,   96.35,    7.53,
   87.5000,   94.35,    7.42,
   87.5000,   92.35,    7.33,
   87.5000,   90.35,    7.25,
   87.5000,   88.35,    7.20,
   87.5000,   86.35,    7.17,
   87.5000,   84.35,    7.14,
   87.5000,   82.35,    7.10,
   87.5000,   80.35,    7.06,
   87.5000,   78.35,    7.03,
   87.5000,   76.35,    7.00,
   87.5000,   74.35,    6.96,
   87.5000,   72.35,    6.95,
   87.5000,   70.35,    6.95,
   87.5000,   68.35,    6.95,
   88.5000,  123.90,  -99.00,
   88.5000,  123.80,    9.64,
   88.5000,  120.35,    9.39,
   88.5000,  118.35,    9.26,
   88.5000,  116.35,    9.19,
   88.5000,  114.35,    9.12,
   88.5000,  112.35,    9.05,
   88.5000,  110.35,    9.00,
   88.5000,  108.35,    8.98,
   88.5000,  106.35,    8.92,
   88.5000,  104.35,    8.77,
   88.5000,  102.35,    8.54,
   88.5000,  100.35,    8.19,
   88.5000,   98.35,    7.81,
   88.5000,   96.35,    7.53,
   88.5000,   94.35,    7.36,
   88.5000,   92.35,    7.25,
   88.5000,   90.35,    7.19,
   88.5000,   88.35,    7.16,
   88.5000,   86.35,    7.12,
   88.5000,   84.35,    7.09,
   88.5000,   82.35,    7.06,
   88.5000,   80.35,    7.04,
   88.5000,   78.35,    7.01,
   88.5000,   76.35,    6.99,
   88.5000,   74.35,    6.96,
   88.5000,   72.35,    6.96,
   88.5000,   70.35,    6.96,
   88.5000,   68.35,    6.96,
   89.5000,  123.90,  -99.00,
   89.5000,  123.80,   10.55,
   89.5000,  120.35,   10.40,
   89.5000,  118.35,   10.35,
   89.5000,  116.35,   10.30,
   89.5000,  114.35,   10.09,
   89.5000,  112.35,    9.73,
   89.5000,  110.35,    9.44,
   89.5000,  108.35,    9.22,
   89.5000,  106.35,    9.02,
   89.5000,  104.35,    8.77,
   89.5000,  102.35,    8.39,
   89.5000,  100.35,    7.97,
   89.5000,   98.35,    7.67,
   89.5000,   96.35,    7.47,
   89.5000,   94.35,    7.34,
   89.5000,   92.35,    7.25,
   89.5000,   90.35,    7.19,
   89.5000,   88.35,    7.16,
   89.5000,   86.35,    7.12,
   89.5000,   84.35,    7.09,
   89.5000,   82.35,    7.06,
   89.5000,   80.35,    7.04,
   89.5000,   78.35,    7.03,
   89.5000,   76.35,    7.01,
   89.5000,   74.35,    6.98,
   89.5000,   72.35,    6.97,
   89.5000,   70.35,    6.97,
   89.5000,   68.35,    6.97,
   90.5000,  123.90,  -99.00,
   90.5000,  123.80,   10.02,
   90.5000,  120.35,    9.99,
   90.5000,  118.35,    9.97,
   90.5000,  116.35,    9.93,
   90.5000,  114.35,    9.79,
   90.5000,  112.35,    9.56,
   90.5000,  110.35,    9.32,
   90.5000,  108.35,    9.06,
   90.5000,  106.35,    8.60,
   90.5000,  104.35,    7.98,
   90.5000,  102.35,    7.54,
   90.5000,  100.35,    7.35,
   90.5000,   98.35,    7.25,
   90.5000,   96.35,    7.20,
   90.5000,   94.35,    7.16,
   90.5000,   92.35,    7.14,
   90.5000,   90.35,    7.12,
   90.5000,   88.35,    7.10,
   90.5000,   86.35,    7.08,
   90.5000,   84.35,    7.07,
   90.5000,   82.35,    7.05,
   90.5000,   80.35,    7.04,
   90.5000,   78.35,    7.03,
   90.5000,   76.35,    7.02,
   90.5000,   74.35,    7.00,
   90.5000,   72.35,    6.98,
   90.5000,   70.35,    6.98,
   90.5000,   68.35,    6.98,
   91.5000,  123.90,  -99.00,
   91.5000,  123.80,   10.47,
   91.5000,  120.35,   10.36,
   91.5000,  118.35,   10.29,
   91.5000,  116.35,   10.25,
   91.5000,  114.35,   10.24,
   91.5000,  112.35,   10.23,
   91.5000,  110.35,   10.23,
   91.5000,  108.35,   10.23,
   91.5000,  106.35,   10.23,
   91.5000,  104.35,   10.23,
   91.5000,  102.35,   10.23,
   91.5000,  100.35,   10.23,
   91.5000,   98.35,   10.23,
   91.5000,   96.35,   10.23,
   91.5000,   94.35,    9.79,
   91.5000,   92.35,    8.18,
   91.5000,   90.35,    7.36,
   91.5000,   88.35,    7.20,
   91.5000,   86.35,    7.15,
   91.5000,   84.35,    7.12,
   91.5000,   82.35,    7.10,
   91.5000,   80.35,    7.08,
   91.5000,   78.35,    7.06,
   91.5000,   76.35,    7.05,
   91.5000,   74.35,    7.03,
   91.5000,   72.35,    7.01,
   91.5000,   70.35,    7.00,
   91.5000,   68.35,    7.00,
   92.5000,  123.90,  -99.00,
   92.5000,  123.80,   10.91,
   92.5000,  120.35,   10.53,
   92.5000,  118.35,   10.25,
   92.5000,  116.35,   10.00,
   92.5000,  114.35,    9.62,
