JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     TDS,    Gen1,    Gen3,    ISS1,      N2,     PO4,     NH4,     NO3,    LDOM,    RDOM,    LPOM,    ALG1,      DO,     TIC,     ALK,MICROCYS,     EPI,      TN,     NH3,      TP,Turbidit,     TSS,      pH,  SECCHI,NH4NITR (kg/d),NH4AR   (kg/d),NH4AG   (kg/d),NH4AP   (kg/d),NH4ER   (kg/d),NH4EG   (kg/d),NH4EP   (kg/d),NH4POM  (kg/d),NH4DOM  (kg/d),NH4OM   (kg/d),NH4SED  (kg/d),NH4SOD  (kg/d),NH3GAS  (kg/d),NO3DEN  (kg/d),NO3AG   (kg/d),NO3EG   (kg/d),NO3SED  (kg/d),LDOMDK  (kg/d),LRDOM   (kg/d),DOREAR  (kg/d),DOSED   (kg/d), CO2GASX(kg/d), SD_C_IN(kg/d), SD_N_IN(kg/d), SD_P_IN(kg/d), DOSEDIA(kg/d),PLIM_ALG1    ,NLIM_ALG1    ,LLIM_ALG1    ,
    64.500,   600.000,   123.800,     7.200,     0.000,     8.603,   265.401,     0.490,    51.450,  2866.000,     1.000,     7.173,   253.587,   250.378,   317.874,   341.344,     1.715,   -28.395,     0.289,    51.000,   100.000,    10.000,     2.000,    20.000,     0.010,     0.140,     0.140,     0.700,     2.022,     0.100,     0.000,    11.000,    11.910,    31.000,      0.00,     0.000,    0.5058,    0.0000,    0.0241,     2.378,     2.100,     6.710,     3.061, 0.382E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.348E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.123E+03, 0.411E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,     0.495,     0.952,     0.001,
    64.604,   600.000,   123.800,     7.200,     0.003,    12.776,   222.543,     0.490,    51.450,  2866.000,     1.000,     7.202,   226.990,   209.946,   323.658,   341.930,    -1.278,   -34.038,     0.290,    51.000,   100.000,     9.153,     2.000,    20.000,     0.010,     0.140,     0.140,     0.695,     2.022,     0.100,     0.002,    10.992,    11.912,    31.000, 0.171E-05,     0.000,    0.5059,    0.0001,    0.0243,     2.380,     2.102,     6.710,     3.059, 0.383E+01, 0.316E-02, 0.634E-04, 0.309E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.375E+00, 0.990E+01, 0.103E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.348E-02, 0.634E-04, 0.000E+00, 0.000E+00, 0.123E+03, 0.409E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.743E+01,     0.501,     0.952,     0.001,
    64.701,   600.000,   123.800,     7.200,     0.004,    12.420,    77.097,     0.492,    51.450,  2866.000,     1.000,     7.220,   122.418,    72.733,   331.841,   342.229,   -14.127,   -45.947,     0.341,    51.000,   100.000,     8.427,     2.000,    20.000,     0.011,     0.140,     0.140,     0.691,     2.022,     0.100,     0.012,    10.983,    11.914,    31.000, 0.171E-04,     0.000,    0.5066,    0.0001,    0.0248,     2.391,     2.111,     6.710,     3.048, 0.383E+01, 0.173E-01, 0.121E-03, 0.172E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.375E+00, 0.984E+01, 0.102E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.349E-02, 0.121E-03, 0.000E+00, 0.000E+00, 0.122E+03, 0.406E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.123E+02,     0.511,     0.952,     0.000,
    64.806,   600.000,   123.800,     7.199,     0.007,    12.998,     0.000,     0.496,    51.450,  2866.000,     1.000,     7.229,    70.109,     0.000,   340.156,   342.279,   -24.767,   -47.465,     0.236,    51.000,   100.000,     7.713,     2.000,    20.000,     0.011,     0.141,     0.140,     0.687,     2.022,     0.100,     0.030,    10.972,    11.916,    31.000, 0.707E-04,     0.000,    0.5080,    0.0001,    0.0255,     2.413,     2.128,     6.710,     3.026, 0.384E+01, 0.442E-01, 0.000E+00, 0.442E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.374E+00, 0.977E+01, 0.101E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.349E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.121E+03, 0.403E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.175E+02,     0.525,     0.953,     0.000,
    64.903,   600.000,   123.800,     7.197,     0.004,    12.666,     0.000,     0.498,    51.450,  2866.000,     1.000,     7.235,    64.330,     0.000,   344.238,   342.389,   -24.407,   -38.074,     0.134,    51.000,   100.000,     7.102,     2.000,    20.000,     0.012,     0.141,     0.141,     0.682,     2.022,     0.099,     0.043,    10.958,    11.917,    31.000, 0.160E-03,     0.000,    0.5091,    0.0001,    0.0262,     2.430,     2.142,     6.710,     3.010, 0.384E+01, 0.653E-01, 0.000E+00, 0.653E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.373E+00, 0.971E+01, 0.101E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.350E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.120E+03, 0.401E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.223E+02,     0.541,     0.953,     0.000,
    65.000,   600.000,   123.800,     7.195,     0.000,    12.670,     0.000,     0.499,    51.450,  2866.000,     1.000,     7.241,    66.682,     0.000,   340.906,   342.507,   -31.690,   -36.593,     0.134,    51.000,   100.000,     6.539,     2.000,    20.000,     0.013,     0.141,     0.141,     0.678,     2.022,     0.099,     0.047,    10.940,    11.919,    31.000, 0.268E-03,     0.000,    0.5095,    0.0001,    0.0271,     2.436,     2.146,     6.710,     3.004, 0.384E+01, 0.728E-01, 0.000E+00, 0.728E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.373E+00, 0.965E+01, 0.100E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.351E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.119E+03, 0.398E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.270E+02,     0.557,     0.953,     0.000,
    65.104,   600.000,   123.802,     7.190,    -0.009,    13.804,     0.000,     0.498,    51.452,  2866.000,     1.000,     7.241,   -59.435,     0.000,   305.769,   342.447,    36.083,   -13.326,     0.329,    51.000,   100.000,     5.986,     2.000,    20.000,     0.014,     0.141,     0.141,     0.674,     2.023,     0.099,     0.041,    10.915,    11.921,    31.000, 0.373E-03,     0.000,    0.5090,    0.0001,    0.0280,     2.429,     2.141,     6.710,     3.011, 0.385E+01, 0.641E-01, 0.000E+00, 0.641E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.372E+00, 0.958E+01, 0.995E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.351E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.119E+03, 0.395E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.320E+02,     0.575,     0.953,     0.000,
    65.201,   600.000,   123.801,     7.182,    -0.025,    11.974,     0.000,     0.496,    51.451,  2866.000,     1.000,     7.229,  -150.949,     0.000,   258.699,   342.088,    54.870,    12.690,     0.295,    51.000,   100.000,     5.512,     2.000,    20.000,     0.015,     0.141,     0.141,     0.670,     2.023,     0.099,     0.029,    10.876,    11.922,    31.000, 0.429E-03,     0.000,    0.5080,    0.0001,    0.0288,     2.413,     2.129,     6.710,     3.026, 0.384E+01, 0.453E-01, 0.000E+00, 0.453E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.371E+00, 0.950E+01, 0.987E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.352E-02, 0.000E+00, 0.000E+00, 0.000E+00, 0.118E+03, 0.392E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.366E+02,     0.591,     0.953,     0.000,
    65.306,   600.000,   123.801,     7.170,    -0.032,    12.742,    51.949,     0.493,    51.451,  2866.000,     1.000,     7.210,  -122.502,    49.008,   245.035,   341.720,    56.331,    18.495,     0.239,    51.000,   100.000,     5.047,     2.000,    20.000,     0.016,     0.142,     0.141,     0.665,     2.023,     0.099,     0.017,    10.814,    11.924,    31.000, 0.449E-03,     0.000,    0.5071,    0.0001,    0.0297,     2.399,     2.117,     6.710,     3.040, 0.383E+01, 0.275E-01, 0.139E-03, 0.274E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.370E+00, 0.942E+01, 0.979E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.353E-02, 0.139E-03, 0.000E+00, 0.000E+00, 0.117E+03, 0.389E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.415E+02,     0.606,     0.953,     0.000,
    65.403,   600.000,   123.801,     7.167,    -0.032,    12.620,   475.656,     0.492,    51.451,  2866.000,     1.000,     7.216,   276.130,   448.733,   245.662,   341.827,    66.085,    10.353,     0.290,    51.000,   100.000,     4.646,     2.000,    20.000,     0.016,     0.142,     0.141,     0.661,     2.023,     0.099,     0.012,    10.766,    11.925,    31.000, 0.477E-03,     0.000,    0.5066,    0.0001,    0.0304,     2.391,     2.111,     6.710,     3.047, 0.384E+01, 0.190E-01, 0.885E-03, 0.181E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.369E+00, 0.936E+01, 0.973E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.355E-02, 0.880E-03, 0.000E+00, 0.000E+00, 0.116E+03, 0.386E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-0.460E+02,     0.616,     0.953,     0.002,
