                  JDAY,WB,TP-Waterbody(kg),TP-Sediment(kg),TP-Plants(kg),OutflowTP(kg),TributaryTP(kg),DistributedTributaryTP(kg),WithdrawalTP(kg),PrecipitationTP(kg),InflowTP(kg),AtmosphericDepositionP(kg),SED+SOD_PRelease(kg),PFluxtoSediments(kg),SedimentDiagenesisPFlux(kg),TN-Waterbody(kg),TN-Sediment(kg),TN-Plants(kg),OutflowTN(kg),TributaryTN(kg),DistributedTributaryTN(kg),WithdrawalTN(kg),PrecipitationTN(kg),InflowTN(kg),AtmosphericDepositionN(kg),NH3GasLoss(kg),SED+SOD_NRelease(kg),NFluxtoSediments(kg),SedimentDiagenesisNH4Flux(kg),SedimentDiagenesisNO3Flux(kg)
   134.500,   1,  0.50543461E+05,   0.00000000E+00,   0.00000000E+00,   0.32911868E+04,   0.00000000E+00,   0.00000000E+00,   0.52254111E+01,   0.00000000E+00,   0.74119860E+03,   0.17991267E+03,   0.00000000E+00,   0.00000000E+00,   0.14292557E+01,   0.72155780E+06,   0.00000000E+00,   0.00000000E+00,   0.31556985E+05,   0.00000000E+00,   0.00000000E+00,   0.50090053E+02,   0.00000000E+00,   0.13438089E+05,   0.17078528E+02,   0.22133830E+03,   0.00000000E+00,   0.00000000E+00,   0.21855989E+01,   0.49807704E+00,
   141.500,   1,  0.51797952E+05,   0.00000000E+00,   0.00000000E+00,   0.36796883E+04,   0.00000000E+00,   0.00000000E+00,   0.58584733E+01,   0.00000000E+00,   0.97966530E+03,   0.19757825E+03,   0.00000000E+00,   0.00000000E+00,   0.14514317E+01,   0.76602251E+06,   0.00000000E+00,   0.00000000E+00,   0.35783124E+05,   0.00000000E+00,   0.00000000E+00,   0.56791934E+02,   0.00000000E+00,   0.16240576E+05,   0.18658007E+02,   0.28269237E+03,   0.00000000E+00,   0.00000000E+00,   0.24133605E+01,   0.55815595E+00,
   148.500,   1,  0.52336806E+05,   0.00000000E+00,   0.00000000E+00,   0.40806110E+04,   0.00000000E+00,   0.00000000E+00,   0.64927067E+01,   0.00000000E+00,   0.10995696E+04,   0.21514387E+03,   0.00000000E+00,   0.00000000E+00,   0.14721165E+01,   0.79294546E+06,   0.00000000E+00,   0.00000000E+00,   0.40201242E+05,   0.00000000E+00,   0.00000000E+00,   0.63744013E+02,   0.00000000E+00,   0.18265910E+05,   0.20232488E+02,   0.33301825E+03,   0.00000000E+00,   0.00000000E+00,   0.26377532E+01,   0.61822668E+00,
   155.500,   1,  0.52609372E+05,   0.00000000E+00,   0.00000000E+00,   0.44950391E+04,   0.00000000E+00,   0.00000000E+00,   0.70930705E+01,   0.00000000E+00,   0.11430774E+04,   0.23260951E+03,   0.00000000E+00,   0.00000000E+00,   0.14918086E+01,   0.81045737E+06,   0.00000000E+00,   0.00000000E+00,   0.44847108E+05,   0.00000000E+00,   0.00000000E+00,   0.70204323E+02,   0.00000000E+00,   0.19911061E+05,   0.21801970E+02,   0.54067527E+03,   0.00000000E+00,   0.00000000E+00,   0.28491667E+01,   0.68825993E+00,
   162.500,   1,  0.52216845E+05,   0.00000000E+00,   0.00000000E+00,   0.49333679E+04,   0.00000000E+00,   0.00000000E+00,   0.75704720E+01,   0.00000000E+00,   0.11761578E+04,   0.24997519E+03,   0.00000000E+00,   0.00000000E+00,   0.15110789E+01,   0.81213997E+06,   0.00000000E+00,   0.00000000E+00,   0.49878878E+05,   0.00000000E+00,   0.00000000E+00,   0.74714224E+02,   0.00000000E+00,   0.21412887E+05,   0.23366454E+02,   0.14145211E+04,   0.00000000E+00,   0.00000000E+00,   0.30533519E+01,   0.77556420E+00,
   169.500,   1,  0.50748505E+05,   0.00000000E+00,   0.00000000E+00,   0.53923788E+04,   0.00000000E+00,   0.00000000E+00,   0.79080346E+01,   0.00000000E+00,   0.12521709E+04,   0.26724090E+03,   0.00000000E+00,   0.00000000E+00,   0.15303947E+01,   0.79473271E+06,   0.00000000E+00,   0.00000000E+00,   0.55258331E+05,   0.00000000E+00,   0.00000000E+00,   0.77043534E+02,   0.00000000E+00,   0.22489150E+05,   0.24925940E+02,   0.27010401E+04,   0.00000000E+00,   0.00000000E+00,   0.32584473E+01,   0.88350216E+00,
   176.500,   1,  0.49187681E+05,   0.00000000E+00,   0.00000000E+00,   0.58576022E+04,   0.00000000E+00,   0.00000000E+00,   0.81661524E+01,   0.00000000E+00,   0.13612644E+04,   0.28440665E+03,   0.00000000E+00,   0.00000000E+00,   0.15499264E+01,   0.77511986E+06,   0.00000000E+00,   0.00000000E+00,   0.60762828E+05,   0.00000000E+00,   0.00000000E+00,   0.78244308E+02,   0.00000000E+00,   0.23374051E+05,   0.26480427E+02,   0.34138042E+04,   0.00000000E+00,   0.00000000E+00,   0.34658589E+01,   0.10053277E+01,
   183.500,   1,  0.47595457E+05,   0.00000000E+00,   0.00000000E+00,   0.63275358E+04,   0.00000000E+00,   0.00000000E+00,   0.83922108E+01,   0.00000000E+00,   0.15463710E+04,   0.30147242E+03,   0.00000000E+00,   0.00000000E+00,   0.15702868E+01,   0.75613723E+06,   0.00000000E+00,   0.00000000E+00,   0.66380750E+05,   0.00000000E+00,   0.00000000E+00,   0.79122007E+02,   0.00000000E+00,   0.24285752E+05,   0.28029916E+02,   0.43567617E+04,   0.00000000E+00,   0.00000000E+00,   0.36625906E+01,   0.11502975E+01,
   190.500,   1,  0.46348382E+05,   0.00000000E+00,   0.00000000E+00,   0.68057286E+04,   0.00000000E+00,   0.00000000E+00,   0.85693066E+01,   0.00000000E+00,   0.17747937E+04,   0.31843823E+03,   0.00000000E+00,   0.00000000E+00,   0.15930867E+01,   0.73999911E+06,   0.00000000E+00,   0.00000000E+00,   0.72182250E+05,   0.00000000E+00,   0.00000000E+00,   0.79544860E+02,   0.00000000E+00,   0.25061176E+05,   0.29574407E+02,   0.54847504E+04,   0.00000000E+00,   0.00000000E+00,   0.38692533E+01,   0.13410456E+01,
   197.500,   1,  0.45955673E+05,   0.00000000E+00,   0.00000000E+00,   0.72898271E+04,   0.00000000E+00,   0.00000000E+00,   0.87206193E+01,   0.00000000E+00,   0.19376307E+04,   0.33530408E+03,   0.00000000E+00,   0.00000000E+00,   0.16193911E+01,   0.73212102E+06,   0.00000000E+00,   0.00000000E+00,   0.78154338E+05,   0.00000000E+00,   0.00000000E+00,   0.79858825E+02,   0.00000000E+00,   0.25919325E+05,   0.31113899E+02,   0.68351180E+04,   0.00000000E+00,   0.00000000E+00,   0.41092670E+01,   0.15779770E+01,
   204.500,   1,  0.45842509E+05,   0.00000000E+00,   0.00000000E+00,   0.77755657E+04,   0.00000000E+00,   0.00000000E+00,   0.88715075E+01,   0.00000000E+00,   0.20142189E+04,   0.35206995E+03,   0.00000000E+00,   0.00000000E+00,   0.16489497E+01,   0.72130620E+06,   0.00000000E+00,   0.00000000E+00,   0.84251810E+05,   0.00000000E+00,   0.00000000E+00,   0.80471640E+02,   0.00000000E+00,   0.26573046E+05,   0.32648393E+02,   0.85365958E+04,   0.00000000E+00,   0.00000000E+00,   0.43655588E+01,   0.18495225E+01,
   211.500,   1,  0.46111683E+05,   0.00000000E+00,   0.00000000E+00,   0.82653396E+04,   0.00000000E+00,   0.00000000E+00,   0.90259039E+01,   0.00000000E+00,   0.22219785E+04,   0.36873586E+03,   0.00000000E+00,   0.00000000E+00,   0.16790320E+01,   0.70719810E+06,   0.00000000E+00,   0.00000000E+00,   0.90296059E+05,   0.00000000E+00,   0.00000000E+00,   0.81557215E+02,   0.00000000E+00,   0.27314431E+05,   0.34177888E+02,   0.10365967E+05,   0.00000000E+00,   0.00000000E+00,   0.46230101E+01,   0.20995273E+01,
   218.500,   1,  0.46533447E+05,   0.00000000E+00,   0.00000000E+00,   0.87455368E+04,   0.00000000E+00,   0.00000000E+00,   0.91276297E+01,   0.00000000E+00,   0.25529026E+04,   0.38530180E+03,   0.00000000E+00,   0.00000000E+00,   0.17087361E+01,   0.69117833E+06,   0.00000000E+00,   0.00000000E+00,   0.95424150E+05,   0.00000000E+00,   0.00000000E+00,   0.82074568E+02,   0.00000000E+00,   0.28195233E+05,   0.35702385E+02,   0.13008824E+05,   0.00000000E+00,   0.00000000E+00,   0.48556380E+01,   0.23237108E+01,
   225.500,   1,  0.46562316E+05,   0.00000000E+00,   0.00000000E+00,   0.92217071E+04,   0.00000000E+00,   0.00000000E+00,   0.92298462E+01,   0.00000000E+00,   0.27705739E+04,   0.40176778E+03,   0.00000000E+00,   0.00000000E+00,   0.17387313E+01,   0.67827829E+06,   0.00000000E+00,   0.00000000E+00,   0.99834414E+05,   0.00000000E+00,   0.00000000E+00,   0.82706364E+02,   0.00000000E+00,   0.29000789E+05,   0.37221884E+02,   0.14796471E+05,   0.00000000E+00,   0.00000000E+00,   0.50556346E+01,   0.25478340E+01,
   232.500,   1,  0.46694509E+05,   0.00000000E+00,   0.00000000E+00,   0.96938806E+04,   0.00000000E+00,   0.00000000E+00,   0.93254347E+01,   0.00000000E+00,   0.28903824E+04,   0.41813378E+03,   0.00000000E+00,   0.00000000E+00,   0.17691810E+01,   0.66979948E+06,   0.00000000E+00,   0.00000000E+00,   0.10371122E+06,   0.00000000E+00,   0.00000000E+00,   0.83409874E+02,   0.00000000E+00,   0.29927472E+05,   0.38736384E+02,   0.16884858E+05,   0.00000000E+00,   0.00000000E+00,   0.52501756E+01,   0.27610567E+01,
   239.500,   1,  0.46689587E+05,   0.00000000E+00,   0.00000000E+00,   0.10163446E+05,   0.00000000E+00,   0.00000000E+00,   0.94230383E+01,   0.00000000E+00,   0.29338902E+04,   0.43439982E+03,   0.00000000E+00,   0.00000000E+00,   0.17994960E+01,   0.66394415E+06,   0.00000000E+00,   0.00000000E+00,   0.10718908E+06,   0.00000000E+00,   0.00000000E+00,   0.84167607E+02,   0.00000000E+00,   0.30970920E+05,   0.40245886E+02,   0.18433026E+05,   0.00000000E+00,   0.00000000E+00,   0.54331691E+01,   0.29654741E+01,
   246.500,   1,  0.45737678E+05,   0.00000000E+00,   0.00000000E+00,   0.10634147E+05,   0.00000000E+00,   0.00000000E+00,   0.95393492E+01,   0.00000000E+00,   0.29669706E+04,   0.45056589E+03,   0.00000000E+00,   0.00000000E+00,   0.18290626E+01,   0.65185122E+06,   0.00000000E+00,   0.00000000E+00,   0.11048544E+06,   0.00000000E+00,   0.00000000E+00,   0.85209593E+02,   0.00000000E+00,   0.31721509E+05,   0.41750390E+02,   0.20579291E+05,   0.00000000E+00,   0.00000000E+00,   0.55928766E+01,   0.31643032E+01,
   253.500,   1,  0.44895205E+05,   0.00000000E+00,   0.00000000E+00,   0.11100989E+05,   0.00000000E+00,   0.00000000E+00,   0.96572335E+01,   0.00000000E+00,   0.30429837E+04,   0.46663635E+03,   0.00000000E+00,   0.00000000E+00,   0.18574116E+01,   0.64558730E+06,   0.00000000E+00,   0.00000000E+00,   0.11364947E+06,   0.00000000E+00,   0.00000000E+00,   0.86254090E+02,   0.00000000E+00,   0.32354567E+05,   0.43252154E+02,   0.21765035E+05,   0.00000000E+00,   0.00000000E+00,   0.57328945E+01,   0.33482736E+01,
   260.500,   1,  0.44301853E+05,   0.00000000E+00,   0.00000000E+00,   0.11566952E+05,   0.00000000E+00,   0.00000000E+00,   0.97802438E+01,   0.00000000E+00,   0.31191885E+04,   0.48263728E+03,   0.00000000E+00,   0.00000000E+00,   0.18848228E+01,   0.64504593E+06,   0.00000000E+00,   0.00000000E+00,   0.11674820E+06,   0.00000000E+00,   0.00000000E+00,   0.87454373E+02,   0.00000000E+00,   0.33214706E+05,   0.44764708E+02,   0.23699945E+05,   0.00000000E+00,   0.00000000E+00,   0.58652803E+01,   0.35182245E+01,
