Variable,JDAY,    1,    2,    3,    4,    5,    6,    7,    8,    9,   10,   11,   12,   13,   14,   15,   16,   17,   18,   19,   20,   21,   22,   23,   24,   25,   26,   27,   28,   29,   30,   31,   32,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    80.500,      0.00,      0.47,      0.48,      0.50,      0.55,      0.60,      0.61,      0.61,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.61,      0.61,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.61,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    81.500,      0.00,      0.45,      0.48,      0.57,      0.60,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.61,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    82.500,      0.00,      0.47,      0.48,      0.62,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.62,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.62,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    83.500,      0.00,      0.47,      0.49,      0.52,      0.58,      0.63,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.62,      0.63,      0.63,      0.63,      0.63,      0.63,      0.62,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    84.500,      0.00,      0.49,      0.51,      0.52,      0.56,      0.60,      0.62,      0.63,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.62,      0.62,      0.62,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    85.500,      0.00,      0.52,      0.53,      0.54,      0.63,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.63,      0.64,      0.63,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    86.500,      0.00,      0.53,      0.55,      0.56,      0.58,      0.66,      0.66,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.64,      0.64,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    87.500,      0.00,      0.54,      0.55,      0.57,      0.59,      0.60,      0.63,      0.65,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.63,      0.63,      0.63,      0.63,      0.63,      0.64,      0.64,      0.64,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    88.500,      0.00,      0.52,      0.54,      0.57,      0.60,      0.61,      0.62,      0.63,      0.64,      0.64,      0.65,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.65,      0.65,      0.64,      0.64,      0.64,      0.63,      0.63,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.00,
NH3PorewaterAerobic_KB_Layer1(mgN/L),    89.500,      0.00,      0.48,      0.50,      0.56,      0.61,      0.63,      0.63,      0.65,      0.66,      0.65,      0.66,      0.66,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.65,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.64,      0.65,      0.65,      0.64,      0.00,
