Constituent,Julian_day,Depth,Elevation,Seg_26 ,Elevation,
Temperature,   130.701,    42.447,    81.350,       7.514,
Temperature,   130.701,    44.447,    79.350,       7.512,
Temperature,   130.701,    46.447,    77.350,       7.512,
Temperature,   130.701,    48.447,    75.350,    -99.00  ,
Temperature,   130.701,    50.447,    73.350,    -99.00  ,
Temperature,   130.701,    52.447,    71.350,    -99.00  ,
Temperature,   130.701,    54.447,    69.350,    -99.00  ,
Temperature,   130.701,    56.447,    67.350,    -99.00  ,
Temperature,   140.701,     1.723,   122.073,      22.395,
Temperature,   140.701,     4.445,   119.350,      22.196,
Temperature,   140.701,     6.445,   117.350,      21.223,
Temperature,   140.701,     8.445,   115.350,      18.553,
Temperature,   140.701,    10.445,   113.350,      15.120,
Temperature,   140.701,    12.445,   111.350,      12.935,
Temperature,   140.701,    14.445,   109.350,      11.448,
Temperature,   140.701,    16.445,   107.350,      10.927,
Temperature,   140.701,    18.445,   105.350,      10.488,
Temperature,   140.701,    20.445,   103.350,      10.064,
Temperature,   140.701,    22.445,   101.350,       9.607,
Temperature,   140.701,    24.445,    99.350,       9.071,
Temperature,   140.701,    26.445,    97.350,       8.562,
Temperature,   140.701,    28.445,    95.350,       8.157,
Temperature,   140.701,    30.445,    93.350,       7.883,
Temperature,   140.701,    32.445,    91.350,       7.717,
Temperature,   140.701,    34.445,    89.350,       7.620,
Temperature,   140.701,    36.445,    87.350,       7.598,
Temperature,   140.701,    38.445,    85.350,       7.592,
Temperature,   140.701,    40.445,    83.350,       7.588,
Temperature,   140.701,    42.445,    81.350,       7.584,
Temperature,   140.701,    44.445,    79.350,       7.581,
Temperature,   140.701,    46.445,    77.350,       7.573,
Temperature,   140.701,    48.445,    75.350,    -99.00  ,
Temperature,   140.701,    50.445,    73.350,    -99.00  ,
Temperature,   140.701,    52.445,    71.350,    -99.00  ,
Temperature,   140.701,    54.445,    69.350,    -99.00  ,
Temperature,   140.701,    56.445,    67.350,    -99.00  ,
Temperature,   150.701,     1.724,   122.074,      24.793,
Temperature,   150.701,     4.448,   119.350,      24.556,
Temperature,   150.701,     6.448,   117.350,      23.555,
Temperature,   150.701,     8.448,   115.350,      20.850,
Temperature,   150.701,    10.448,   113.350,      17.463,
Temperature,   150.701,    12.448,   111.350,      14.343,
Temperature,   150.701,    14.448,   109.350,      12.254,
Temperature,   150.701,    16.448,   107.350,      11.058,
Temperature,   150.701,    18.448,   105.350,      10.361,
Temperature,   150.701,    20.448,   103.350,       9.815,
Temperature,   150.701,    22.448,   101.350,       9.289,
Temperature,   150.701,    24.448,    99.350,       8.793,
Temperature,   150.701,    26.448,    97.350,       8.377,
Temperature,   150.701,    28.448,    95.350,       8.069,
Temperature,   150.701,    30.448,    93.350,       7.864,
Temperature,   150.701,    32.448,    91.350,       7.733,
Temperature,   150.701,    34.448,    89.350,       7.661,
Temperature,   150.701,    36.448,    87.350,       7.634,
Temperature,   150.701,    38.448,    85.350,       7.626,
Temperature,   150.701,    40.448,    83.350,       7.622,
Temperature,   150.701,    42.448,    81.350,       7.620,
Temperature,   150.701,    44.448,    79.350,       7.617,
Temperature,   150.701,    46.448,    77.350,       7.613,
Temperature,   150.701,    48.448,    75.350,    -99.00  ,
Temperature,   150.701,    50.448,    73.350,    -99.00  ,
Temperature,   150.701,    52.448,    71.350,    -99.00  ,
Temperature,   150.701,    54.448,    69.350,    -99.00  ,
Temperature,   150.701,    56.448,    67.350,    -99.00  ,
Temperature,   160.701,     1.724,   122.074,      27.350,
Temperature,   160.701,     4.448,   119.350,      27.341,
Temperature,   160.701,     6.448,   117.350,      27.153,
Temperature,   160.701,     8.448,   115.350,      22.128,
Temperature,   160.701,    10.448,   113.350,      16.779,
Temperature,   160.701,    12.448,   111.350,      14.035,
Temperature,   160.701,    14.448,   109.350,      11.984,
Temperature,   160.701,    16.448,   107.350,      10.938,
Temperature,   160.701,    18.448,   105.350,      10.233,
Temperature,   160.701,    20.448,   103.350,       9.735,
Temperature,   160.701,    22.448,   101.350,       9.261,
Temperature,   160.701,    24.448,    99.350,       8.803,
Temperature,   160.701,    26.448,    97.350,       8.400,
Temperature,   160.701,    28.448,    95.350,       8.090,
Temperature,   160.701,    30.448,    93.350,       7.884,
Temperature,   160.701,    32.448,    91.350,       7.764,
Temperature,   160.701,    34.448,    89.350,       7.705,
Temperature,   160.701,    36.448,    87.350,       7.673,
Temperature,   160.701,    38.448,    85.350,       7.645,
Temperature,   160.701,    40.448,    83.350,       7.634,
Temperature,   160.701,    42.448,    81.350,       7.630,
Temperature,   160.701,    44.448,    79.350,       7.630,
