$GATE WITHDRAWAL AT SEG31                                    ELEV OF WITHDRAWAL CENTERLINE:120.     

JDAY,T(C)
    95.903,   12.90
    96.000,   12.85
    96.104,   12.81
    96.201,   12.77
    96.306,   12.74
    96.403,   12.76
    96.500,   12.80
    96.604,   12.89
    96.701,   12.96
    96.806,   12.40
    96.903,   11.24
    97.000,   11.09
    97.104,   11.52
    97.201,   11.83
    97.306,   11.83
    97.403,   11.77
    97.500,   11.67
    97.604,   11.57
    97.701,   11.57
    97.806,   11.65
    97.903,   11.75
    98.000,   11.91
    98.104,   12.01
    98.201,   12.02
    98.306,   12.00
    98.403,   12.03
    98.500,   12.09
    98.604,   12.14
    98.701,   12.09
    98.806,   11.79
    98.903,   11.54
    99.000,   11.44
    99.104,   11.39
    99.201,   11.65
    99.306,   11.86
    99.403,   12.02
    99.500,   12.38
    99.604,   12.90
    99.701,   13.21
    99.806,   13.29
    99.903,   13.30
   100.000,   13.32
   100.104,   13.33
   100.201,   13.32
   100.306,   13.29
   100.403,   13.33
   100.500,   13.56
   100.604,   13.82
   100.701,   13.99
   100.806,   14.03
   100.903,   14.00
   101.000,   13.98
   101.104,   13.96
   101.201,   13.93
   101.306,   13.89
   101.403,   13.92
   101.500,   14.07
   101.604,   14.37
   101.701,   14.61
   101.806,   14.68
   101.903,   14.65
   102.000,   14.56
   102.104,   14.41
   102.201,   14.26
   102.306,   14.10
   102.403,   13.98
   102.500,   13.93
   102.604,   13.97
   102.701,   14.04
   102.806,   13.97
   102.903,   13.80
   103.000,   13.67
   103.104,   13.77
   103.201,   13.91
   103.306,   13.89
   103.403,   13.87
   103.500,   13.89
   103.604,   13.92
   103.701,   13.94
   103.806,   13.93
   103.903,   13.88
   104.000,   13.82
   104.104,   13.67
   104.201,   13.54
   104.306,   13.42
   104.403,   13.37
   104.500,   13.33
   104.604,   13.31
   104.701,   13.32
   104.806,   13.27
   104.903,   13.23
   105.000,   13.19
   105.104,   13.16
   105.201,   13.14
   105.306,   13.12
   105.403,   13.12
   105.500,   13.15
   105.604,   13.17
   105.701,   13.16
   105.806,   13.13
   105.903,   13.10
   106.000,   13.06
   106.104,   13.02
   106.201,   12.97
   106.306,   12.93
   106.403,   12.96
   106.500,   13.15
   106.604,   13.51
   106.701,   13.80
   106.806,   13.84
   106.903,   13.79
   107.000,   13.74
   107.104,   13.70
   107.201,   13.66
   107.306,   13.62
   107.403,   13.62
   107.500,   13.67
   107.604,   13.67
   107.701,   13.62
   107.806,   13.51
   107.903,   13.37
   108.000,   13.27
   108.104,   13.19
   108.201,   13.11
   108.306,   13.05
   108.403,   13.14
   108.500,   13.29
   108.604,   13.46
   108.701,   13.54
   108.806,   13.68
   108.903,   13.68
   109.000,   13.64
   109.104,   13.57
   109.201,   13.50
   109.306,   13.44
   109.403,   13.42
   109.500,   13.44
   109.604,   13.39
   109.701,   13.34
   109.806,   13.31
   109.903,   13.30
   110.000,   13.31
   110.104,   13.43
   110.201,   13.52
   110.306,   13.54
   110.403,   13.62
   110.500,   13.86
   110.604,   14.18
   110.701,   14.41
   110.806,   14.46
   110.903,   14.34
   111.000,   14.26
   111.104,   14.33
   111.201,   14.41
   111.306,   14.40
   111.403,   14.49
   111.500,   14.67
   111.604,   14.90
   111.701,   15.04
   111.806,   15.03
   111.903,   14.99
   112.000,   15.09
   112.104,   15.21
   112.201,   15.21
   112.306,   15.17
   112.403,   15.27
   112.500,   15.49
   112.604,   15.81
   112.701,   16.13
   112.806,   16.26
   112.903,   16.24
   113.000,   16.27
   113.104,   16.34
   113.201,   16.30
   113.306,   16.28
   113.403,   16.36
   113.500,   16.52
   113.604,   16.70
   113.701,   16.77
   113.806,   16.65
   113.903,   16.66
   114.000,   16.84
   114.104,   17.00
   114.201,   17.00
   114.306,   16.99
   114.403,   17.07
   114.500,   17.24
   114.604,   17.55
   114.701,   17.80
   114.806,   17.97
   114.903,   18.03
   115.000,   18.00
   115.104,   17.93
   115.201,   17.86
   115.306,   17.83
   115.403,   17.86
   115.500,   18.05
   115.604,   18.28
   115.701,   18.42
   115.806,   18.46
   115.903,   18.39
   116.000,   18.21
   116.104,   17.83
   116.201,   17.15
   116.306,   16.52
   116.403,   16.13
   116.500,   15.89
   116.604,   15.89
   116.701,   15.97
   116.806,   16.27
   116.903,   16.36
   117.000,   16.28
   117.104,   16.23
   117.201,   16.23
   117.306,   16.21
   117.403,   16.22
   117.500,   16.27
   117.604,   16.36
   117.701,   16.46
   117.806,   16.52
   117.903,   16.50
   118.000,   16.50
   118.104,   16.50
   118.201,   16.49
   118.306,   16.49
   118.403,   16.54
   118.500,   16.73
   118.604,   17.06
   118.701,   17.27
   118.806,   17.30
   118.903,   17.27
   119.000,   17.24
   119.104,   17.20
   119.201,   17.15
   119.306,   17.10
   119.403,   17.15
   119.500,   17.33
   119.604,   17.62
   119.701,   17.90
   119.806,   18.02
   119.903,   17.95
   120.000,   17.89
   120.104,   17.83
   120.201,   17.76
   120.306,   17.70
   120.403,   17.72
   120.500,   17.88
   120.604,   18.23
   120.701,   18.58
   120.806,   18.66
   120.903,   18.59
   121.000,   18.51
   121.104,   18.45
   121.201,   18.37
   121.306,   18.30
   121.403,   18.28
   121.500,   18.28
   121.604,   18.21
   121.701,   18.09
   121.806,   17.99
   121.903,   17.98
   122.000,   17.97
   122.104,   17.96
   122.201,   17.99
   122.306,   17.94
   122.403,   17.75
   122.500,   17.46
   122.604,   17.27
   122.701,   17.20
   122.806,   17.16
   122.903,   17.23
   123.000,   17.42
   123.104,   17.65
   123.201,   17.70
   123.306,   17.72
   123.403,   17.77
   123.500,   17.80
   123.604,   17.79
   123.701,   17.71
   123.806,   17.68
   123.903,   17.71
   124.000,   17.73
   124.104,   17.84
   124.201,   17.86
   124.306,   17.86
   124.403,   17.90
   124.500,   18.08
   124.604,   18.23
   124.701,   18.27
   124.806,   18.13
   124.903,   17.99
   125.000,   17.93
   125.104,   18.00
   125.201,   18.14
   125.306,   18.15
   125.403,   18.24
   125.500,   18.42
   125.604,   18.69
   125.701,   18.87
   125.806,   18.95
   125.903,   18.97
   126.000,   19.01
   126.104,   18.95
   126.201,   18.88
   126.306,   18.83
   126.403,   18.86
   126.500,   19.04
   126.604,   19.31
   126.701,   19.56
   126.806,   19.69
   126.903,   19.71
   127.000,   19.64
   127.104,   19.59
   127.201,   19.53
   127.306,   19.49
   127.403,   19.52
   127.500,   19.64
   127.604,   19.96
   127.701,   20.31
   127.806,   20.53
   127.903,   20.57
   128.000,   20.50
   128.104,   20.46
   128.201,   20.40
   128.306,   20.36
   128.403,   20.38
   128.500,   20.45
   128.604,   20.54
   128.701,   20.58
   128.806,   20.47
   128.903,   20.35
   129.000,   20.20
   129.104,   20.17
   129.201,   20.16
