JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    71.604,   600.000,   123.799,     7.470,     0.025,    12.946,   234.358,     0.450,    51.449,  2866.000,     1.000,     8.294,    55.499,   221.093,   297.915,   351.281,   101.901,    10.326,     0.000,
    71.701,   600.000,   123.799,     7.364,     0.026,    12.582,    85.108,     0.450,    51.449,  2866.000,     1.000,     8.188,   -70.702,    80.291,   292.518,   351.025,    78.762,    13.723,     0.000,
    71.806,   600.000,   123.799,     7.256,     0.024,    12.648,     0.000,     0.450,    51.449,  2866.000,     1.000,     8.040,  -147.484,     0.000,   283.963,   350.526,    61.603,    19.318,     0.000,
    71.903,   600.000,   123.799,     7.173,     0.022,    12.409,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.902,  -150.526,     0.000,   281.182,   350.004,    54.862,    26.842,     0.000,
    72.000,   600.000,   123.799,     7.121,     0.023,    12.037,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.781,  -162.498,     0.000,   281.182,   349.423,    61.435,    32.823,     0.000,
    72.104,   600.000,   123.799,     7.095,     0.026,    12.696,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.674,  -141.417,     0.000,   281.182,   348.735,    46.888,    26.976,     0.000,
    72.201,   600.000,   123.799,     7.086,     0.024,    13.015,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.589,  -124.795,     0.000,   281.159,   348.039,    38.406,    19.509,     0.000,
    72.306,   600.000,   123.799,     7.078,     0.019,    12.171,    27.108,     0.450,    51.449,  2866.000,     1.000,     7.516,   -77.394,    25.574,   287.202,   347.318,    30.097,    12.755,     0.000,
    72.403,   600.000,   123.799,     7.074,     0.019,    12.543,   183.875,     0.450,    51.449,  2866.000,     1.000,     7.472,    89.590,   173.467,   292.274,   346.891,    21.797,     7.463,     0.000,
    72.500,   600.000,   123.799,     7.074,     0.020,    12.566,   278.942,     0.450,    51.449,  2866.000,     1.000,     7.448,   214.373,   263.153,   305.661,   346.717,    11.785,    -4.062,     0.000,
    72.604,   600.000,   123.799,     7.077,     0.021,    12.689,   235.987,     0.450,    51.449,  2866.000,     1.000,     7.427,   204.508,   222.630,   315.348,   346.521,    -2.018,   -11.034,     0.000,
    72.701,   600.000,   123.799,     7.084,     0.020,    12.734,    86.231,     0.450,    51.449,  2866.000,     1.000,     7.403,    72.998,    81.350,   317.874,   346.101,    -6.291,   -13.583,     0.000,
    72.806,   600.000,   123.799,     7.100,     0.017,    12.836,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.373,   -10.040,     0.000,   316.572,   345.330,    -4.748,   -13.971,     0.000,
    72.903,   600.000,   123.799,     7.122,     0.010,    12.404,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.364,   -18.029,     0.000,   313.869,   344.803,    -1.117,   -11.787,     0.000,
    73.000,   600.000,   123.799,     7.151,     0.006,    12.456,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.380,   -23.981,     0.000,   310.784,   344.554,    -1.238,    -8.550,     0.000,
    73.104,   600.000,   123.799,     7.193,     0.001,    12.823,     0.000,     0.450,    51.449,  2866.000,     1.000,     7.421,   -23.629,     0.000,   310.564,   344.507,    -1.363,    -8.951,     0.000,
    73.201,   600.000,   123.800,     7.237,    -0.006,    13.005,     0.000,     0.450,    51.450,  2866.000,     1.000,     7.470,   -31.055,     0.000,   308.377,   344.680,     4.984,   -10.233,     0.000,
    73.306,   600.000,   123.801,     7.264,    -0.026,    12.310,    50.061,     0.450,    51.451,  2866.000,     1.000,     7.530,   -14.692,    47.227,   291.139,   344.904,    22.248,   -14.094,     0.000,
    73.403,   600.000,   123.801,     7.256,    -0.044,    13.938,   471.287,     0.450,    51.451,  2866.000,     1.000,     7.612,   360.204,   444.610,   279.411,   346.131,    38.588,   -20.901,     0.000,
    73.500,   600.000,   123.803,     7.224,    -0.067,    14.599,   674.883,     0.450,    51.453,  2866.000,     1.000,     7.739,   559.257,   636.682,   295.447,   348.017,    75.907,   -51.051,     0.000,
    73.604,   600.000,   123.804,     7.333,    -0.073,    12.919,   663.115,     0.450,    51.454,  2866.000,     1.000,     7.833,   544.567,   625.580,   294.297,   349.073,    93.764,   -67.527,     0.000,
    73.701,   600.000,   123.802,     7.474,    -0.079,    11.859,   249.248,     0.450,    51.452,  2866.000,     1.000,     7.925,   132.769,   235.139,   291.200,   349.113,    98.928,   -54.471,     0.000,
    73.806,   600.000,   123.800,     7.638,    -0.059,    11.633,     0.000,     0.450,    51.450,  2866.000,     1.000,     8.086,  -121.598,     0.000,   279.130,   349.291,    73.992,   -22.555,     0.000,
