 JDAY,ELEVATION(m),TEMPERATURE(C)
   70.5000,  100.35,    6.82,
   70.5000,   98.35,    6.76,
   70.5000,   96.35,    6.72,
   70.5000,   94.35,    6.69,
   70.5000,   92.35,    6.66,
   70.5000,   90.35,    6.63,
   70.5000,   88.35,    6.62,
   70.5000,   86.35,    6.61,
   70.5000,   84.35,    6.59,
   70.5000,   82.35,    6.57,
   70.5000,   80.35,    6.55,
   70.5000,   78.35,    6.54,
   70.5000,   76.35,    6.54,
   70.5000,   74.35,    6.54,
   70.5000,   72.35,    6.54,
   70.5000,   70.35,    6.54,
   70.5000,   68.35,    6.54,
   71.5000,  123.90,  -99.00,
   71.5000,  123.80,    9.37,
   71.5000,  120.35,    9.31,
   71.5000,  118.35,    9.18,
   71.5000,  116.35,    8.78,
   71.5000,  114.35,    8.13,
   71.5000,  112.35,    7.60,
   71.5000,  110.35,    7.25,
   71.5000,  108.35,    7.07,
   71.5000,  106.35,    6.98,
   71.5000,  104.35,    6.91,
   71.5000,  102.35,    6.85,
   71.5000,  100.35,    6.80,
   71.5000,   98.35,    6.76,
   71.5000,   96.35,    6.73,
   71.5000,   94.35,    6.70,
   71.5000,   92.35,    6.67,
   71.5000,   90.35,    6.64,
   71.5000,   88.35,    6.63,
   71.5000,   86.35,    6.61,
   71.5000,   84.35,    6.60,
   71.5000,   82.35,    6.58,
   71.5000,   80.35,    6.56,
   71.5000,   78.35,    6.55,
   71.5000,   76.35,    6.55,
   71.5000,   74.35,    6.55,
   71.5000,   72.35,    6.55,
   71.5000,   70.35,    6.55,
   71.5000,   68.35,    6.55,
   72.5000,  123.90,  -99.00,
   72.5000,  123.80,    7.98,
   72.5000,  120.35,    7.64,
   72.5000,  118.35,    7.32,
   72.5000,  116.35,    7.26,
   72.5000,  114.35,    7.17,
   72.5000,  112.35,    7.14,
   72.5000,  110.35,    7.08,
   72.5000,  108.35,    7.03,
   72.5000,  106.35,    6.98,
   72.5000,  104.35,    6.93,
   72.5000,  102.35,    6.89,
   72.5000,  100.35,    6.85,
   72.5000,   98.35,    6.81,
   72.5000,   96.35,    6.77,
   72.5000,   94.35,    6.73,
   72.5000,   92.35,    6.70,
   72.5000,   90.35,    6.67,
   72.5000,   88.35,    6.64,
   72.5000,   86.35,    6.63,
   72.5000,   84.35,    6.61,
   72.5000,   82.35,    6.59,
   72.5000,   80.35,    6.57,
   72.5000,   78.35,    6.56,
   72.5000,   76.35,    6.55,
   72.5000,   74.35,    6.55,
   72.5000,   72.35,    6.55,
   72.5000,   70.35,    6.55,
   72.5000,   68.35,    6.55,
   73.5000,  123.91,  -99.00,
   73.5000,  123.81,    7.91,
   73.5000,  120.35,    7.86,
   73.5000,  118.35,    7.84,
   73.5000,  116.35,    7.78,
   73.5000,  114.35,    7.70,
   73.5000,  112.35,    7.61,
   73.5000,  110.35,    7.55,
   73.5000,  108.35,    7.52,
   73.5000,  106.35,    7.46,
   73.5000,  104.35,    7.39,
   73.5000,  102.35,    7.31,
   73.5000,  100.35,    7.24,
   73.5000,   98.35,    7.18,
   73.5000,   96.35,    7.13,
   73.5000,   94.35,    7.08,
   73.5000,   92.35,    7.02,
   73.5000,   90.35,    6.96,
   73.5000,   88.35,    6.88,
   73.5000,   86.35,    6.80,
   73.5000,   84.35,    6.73,
   73.5000,   82.35,    6.68,
   73.5000,   80.35,    6.63,
   73.5000,   78.35,    6.60,
   73.5000,   76.35,    6.58,
   73.5000,   74.35,    6.57,
   73.5000,   72.35,    6.56,
   73.5000,   70.35,    6.56,
   73.5000,   68.35,    6.56,
   74.5000,  123.90,  -99.00,
   74.5000,  123.80,    9.06,
   74.5000,  120.35,    8.84,
   74.5000,  118.35,    8.77,
   74.5000,  116.35,    8.76,
   74.5000,  114.35,    8.76,
   74.5000,  112.35,    8.75,
   74.5000,  110.35,    8.75,
   74.5000,  108.35,    8.75,
   74.5000,  106.35,    8.75,
   74.5000,  104.35,    8.75,
   74.5000,  102.35,    8.75,
   74.5000,  100.35,    8.75,
   74.5000,   98.35,    8.74,
   74.5000,   96.35,    8.64,
   74.5000,   94.35,    8.41,
   74.5000,   92.35,    8.13,
   74.5000,   90.35,    7.84,
   74.5000,   88.35,    7.56,
   74.5000,   86.35,    7.36,
   74.5000,   84.35,    7.21,
   74.5000,   82.35,    7.06,
   74.5000,   80.35,    6.91,
   74.5000,   78.35,    6.78,
   74.5000,   76.35,    6.70,
   74.5000,   74.35,    6.69,
   74.5000,   72.35,    6.69,
   74.5000,   70.35,    6.69,
   74.5000,   68.35,    6.69,
   75.5000,  123.90,  -99.00,
   75.5000,  123.80,    8.88,
   75.5000,  120.35,    8.66,
   75.5000,  118.35,    8.44,
   75.5000,  116.35,    8.12,
   75.5000,  114.35,    7.87,
   75.5000,  112.35,    7.77,
