JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    64.500,   600.000,   123.799,     7.400,     0.001,     0.000,   265.401,     0.450,    57.449,   783.000,     1.000,     6.977,   253.587,   250.378,   317.874,   341.344,     1.715,   -28.395,     0.000,
    64.604,   600.000,   123.800,     7.515,     0.001,     0.000,   222.543,     0.450,    57.450,   783.000,     1.000,     6.988,   227.151,   209.946,   323.658,   341.893,    -1.344,   -34.096,     0.000,
    64.701,   600.000,   123.800,     7.557,     0.001,     0.000,    77.097,     0.450,    57.450,   783.000,     1.000,     6.989,   122.829,    72.733,   331.841,   342.140,   -14.299,   -46.098,     0.000,
    64.806,   600.000,   123.800,     7.561,     0.001,     0.000,     0.000,     0.450,    57.450,   783.000,     1.000,     6.981,    70.748,     0.000,   340.156,   342.123,   -25.024,   -47.691,     0.000,
    64.903,   600.000,   123.800,     7.575,     0.001,     0.000,     0.000,     0.450,    57.450,   783.000,     1.000,     6.979,    64.985,     0.000,   344.238,   342.190,   -24.649,   -38.287,     0.000,
    65.000,   600.000,   123.801,     7.599,     0.001,     0.000,     0.000,     0.450,    57.451,   783.000,     1.000,     6.990,    67.357,     0.000,   340.906,   342.306,   -31.942,   -36.815,     0.000,
    65.104,   600.000,   123.802,     7.594,     0.001,     0.000,     0.000,     0.450,    57.452,   783.000,     1.000,     7.016,   -58.771,     0.000,   305.769,   342.302,    35.807,   -13.568,     0.000,
    65.201,   600.000,   123.802,     7.538,     0.001,     0.000,     0.000,     0.450,    57.452,   783.000,     1.000,     7.070,  -150.735,     0.000,   258.699,   342.039,    54.782,    12.613,     0.000,
    65.306,   600.000,   123.801,     7.491,     0.001,     0.000,    51.949,     0.450,    57.451,   783.000,     1.000,     7.133,  -122.821,    49.008,   245.035,   341.798,    56.459,    18.608,     0.000,
    65.403,   600.000,   123.802,     7.520,     0.001,     0.000,   475.656,     0.450,    57.452,   783.000,     1.000,     7.191,   275.857,   448.733,   245.662,   341.889,    66.196,    10.452,     0.000,
    65.500,   600.000,   123.802,     7.718,     0.001,     0.000,   757.994,     0.450,    57.452,   783.000,     1.000,     7.264,   570.538,   715.089,   258.308,   342.810,    67.846,    -7.797,     0.000,
    65.604,   600.000,   123.801,     7.962,     0.001,     0.000,   640.774,     0.450,    57.451,   783.000,     1.000,     7.353,   493.748,   604.504,   273.797,   344.039,    64.883,   -24.369,     0.000,
    65.701,   600.000,   123.801,     8.078,     0.001,     0.000,   223.586,     0.450,    57.451,   783.000,     1.000,     7.420,    96.739,   210.930,   270.987,   344.646,    57.320,   -16.787,     0.000,
