JDAY,SEG   2,SEG   3,SEG   4,SEG   5,SEG   6,SEG   7,SEG   8,SEG   9,SEG  10,SEG  11,SEG  12,SEG  13,SEG  14,SEG  15,SEG  16,SEG  17,SEG  18,SEG  19,SEG  20,SEG  21,SEG  22,SEG  23,SEG  24,SEG  25,SEG  26,SEG  27,SEG  28,SEG  29,SEG  30,SEG  31,SEG
    66.403, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799,
    66.500, 123.803, 123.802, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799,
    66.604, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    66.701, 123.802, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799,
    66.806, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799,
    66.903, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.000, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799,
    67.104, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.201, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.306, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.403, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799,
    67.500, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.604, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801,
    67.701, 123.796, 123.796, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801,
    67.806, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    67.903, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    68.000, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    68.104, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    68.201, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    68.306, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    68.403, 123.796, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801,
    68.500, 123.796, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801,
    68.604, 123.792, 123.793, 123.793, 123.794, 123.795, 123.795, 123.796, 123.796, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.802, 123.802, 123.802, 123.802, 123.803,
    68.701, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.802,
    68.806, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801,
    68.903, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    69.000, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    69.104, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.201, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.306, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.403, 123.804, 123.803, 123.803, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.500, 123.803, 123.803, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.604, 123.804, 123.804, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799,
    69.701, 123.804, 123.804, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.806, 123.804, 123.803, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    69.903, 123.803, 123.803, 123.803, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.000, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.104, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.201, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.306, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.403, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.500, 123.798, 123.798, 123.798, 123.799, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    70.604, 123.796, 123.797, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801, 123.801,
    70.701, 123.797, 123.797, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801, 123.801,
    70.806, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    70.903, 123.798, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.801, 123.801,
    71.000, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.800, 123.800,
    71.104, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    71.201, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800,
    71.306, 123.803, 123.803, 123.803, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.800, 123.800, 123.799, 123.799, 123.799,
    71.403, 123.808, 123.807, 123.806, 123.805, 123.804, 123.804, 123.803, 123.803, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.798, 123.798, 123.798,
    71.500, 123.810, 123.809, 123.808, 123.807, 123.806, 123.805, 123.804, 123.804, 123.804, 123.803, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.798, 123.798, 123.798, 123.798, 123.797,
    71.604, 123.807, 123.806, 123.805, 123.805, 123.804, 123.803, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.798,
    71.701, 123.804, 123.804, 123.804, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799,
    71.806, 123.804, 123.804, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799,
    71.903, 123.804, 123.803, 123.803, 123.803, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799,
    72.000, 123.806, 123.806, 123.805, 123.804, 123.804, 123.803, 123.803, 123.803, 123.802, 123.802, 123.802, 123.802, 123.801, 123.801, 123.801, 123.800, 123.800, 123.800, 123.800, 123.800, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.799, 123.798, 123.798, 123.798,
